ID,NameSubtext_lang,Description_lang,AuraDescription_lang
132,,"Allows the friendly target to detect lesser invisibility for $d.","Detect lesser invisibility."
133,"Rank 1","Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.","$s2 Fire damage every $t2 seconds."
134,,"Surrounds an ally with a shield of flame that inflicts $3052s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.","Inflicting $3052s1 Fire damage to nearby enemies every $t1 sec."
136,"Rank 1","Heals your pet for $o1 health over $d.","Heals $s1 every $t1 sec."
139,"Rank 1","Heals the target for $o1 over $d.","Healing $s1 damage every $t1 seconds."
143,"Rank 2","Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.","$s2 Fire damage every $t2 seconds."
145,"Rank 3","Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.","$s2 Fire damage every $t2 seconds."
168,"Rank 1","Increases Armor by $s1.  If an enemy strikes the caster, they may have their movement slowed by $6136s1% and the time between their attacks increased by $6136s2% for $6136d.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.","Increases Armor by $s1 and may slow attackers."
172,"Rank 1","Corrupts the target, causing $o1 Shadow damage over $d.","$s1 Shadow damage every $t1 seconds."
184,,"Surrounds an ally with a shield of flame that inflicts $3053s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.","Inflicting $3053s1 Fire damage to nearby enemies every $t1 sec."
205,"Rank 2","Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.","Movement slowed by $s1%."
228,"Rank 2","Transforms the enemy into a chicken that cannot cast, and does $s3% less damage for up to $d.","Cannot cast spells and damage reduced by $s3%."
246,"Rank 1","Slows the enemy's movement by $s2% and their attack speed by $s1% for $d.","Reduces movement by $s2% and attack speed by $s1%."
265,,"Kills all enemies in a 30 yard radius.  Cheater.",
284,"Rank 2","A strong attack that increases melee damage by $s1 and causes a high amount of threat.",
285,"Rank 3","A strong attack that increases melee damage by $s1 and causes a high amount of threat.",
324,"Rank 1","The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26364s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.","Causes $26364s1 Nature damage to attacker on hit."
514,,,
325,"Rank 2","The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26365s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.","Causes $26365s1 Nature damage to attacker on hit."
331,"Rank 1","Heals a friendly target for $s1.",
332,"Rank 2","Heals a friendly target for $s1.",
339,"Rank 1","Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.  Only useable outdoors.","Rooted.  Causes $s2 Nature damage every $t2 seconds."
348,"Rank 1","Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.","$s1 Fire damage every $t1 seconds."
355,,"Taunts the target to attack you, but has no effect if the target is already attacking you.",
370,"Rank 1","Purges the enemy target, removing $m1 beneficial magic $leffect:effects;.",
403,"Rank 1","Casts a bolt of lightning at the target for $s1 Nature damage.",
408,"Rank 1","Finishing move that stuns the target.  Lasts longer per combo point:
   1 point  : 1 second
   2 points: 2 seconds
   3 points: 3 seconds
   4 points: 4 seconds
   5 points: 5 seconds",Stunned.
421,"Rank 1","Hurls a lightning bolt at the enemy, dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by 30%.  Affects $x1 total targets.",
427,,"Teleport to the Monastery!!!",
430,,"Restores ${$m2/5*18} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
431,,"Restores ${$m2/5*21} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
432,,"Restores ${$m2/5*24} mana over $d.  Must remain seated while drinking.","Restores ${$m2/5} mana per second."
433,,"Restores $o1 health over $d.  Must remain seated while eating.","Restores $/5;s1 health per second."
436,,"Restores $s1 mana.",
439,,"Restores $s1 health.",
442,,"Teleport to Northshire Abbey!!!",
443,,"Teleport to the Barracks!!!",
444,,"Teleport to the Lighthouse!!!",
445,,"Teleport to Darkshire!!!",
446,,"Teleport to the Cemetary!!!",
447,,"Teleport to the Treant!!!",
453,"Rank 1","Soothes the target, reducing the range at which it will attack you by $s1 yards.  Only affects Humanoid targets level $v or lower.  Lasts $d.","Reduced distance at which target will attack."
458,,"Summons and dismisses a rideable brown horse.","Increases speed by $s2%."
459,,"Summons and dismisses a rideable gray wolf.","Increases speed by $s2%."
465,"Rank 1","Gives $s1 additional armor to party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases armor by $s1."
467,"Rank 1","Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
468,,"Summons and dismisses a rideable white stallion.","Increases speed by $s2%."
469,"Rank 1","Increases maximum health of all party members within $a1 yards by $s1.  Lasts $d.","Maximum health increased by $s1."
470,,"Summons and dismisses a rideable black stallion.","Increases speed by $s2%."
471,,"Summons and dismisses a rideable palomino.","Increases speed by $s2%."
472,,"Summons and dismisses a rideable pinto.","Increases speed by $s2%."
475,,"Removes $m1 Curse from a friendly target.",
491,"Rank 1","Magically unlocks treasure chests and other locked items.",
498,"Rank 1","You are protected from all physical attacks and spells for $d, but during that time you cannot attack or use physical abilities yourself.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for $25771d.","Immune to all attacks and spells.  Cannot attack or use physical abilities."
512,"Rank 2","Forms icy chains around the enemy, locking the target in place for $d.","Rooted in place."
515,"Rank 1","Teaches Lesser Invisibility.",
526,,"Cures $s1 poison $leffect:effects; on the target.",
527,"Rank 1","Dispels magic on the target, removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy.",
528,,"Removes $s1 $ldisease:diseases; from the friendly target.",
529,"Rank 2","Casts a bolt of lightning at the target for $s1 Nature damage.",
543,"Rank 1","Absorbs $s1 Fire damage.  Lasts $d.","Absorbs Fire damage."
546,,"Allows the friendly target to walk across water for $d.  Any damage will cancel the effect.","Allows walking over water."
547,"Rank 3","Heals a friendly target for $s1.",
548,"Rank 3","Casts a bolt of lightning at the target for $s1 Nature damage.",
550,"Rank 1","Target is immune to poison for $d and is cured of any existing poisons.","Immune to Poison."
552,,"Attempts to cure $s2 disease effect on the target, and $10872s1 more disease effect every $t1 seconds for $d.","Attempts to dispel $10872s1 disease every $t1 seconds."
556,,"Yanks the caster through the twisting nether back to $z.  Speak to an Innkeeper in a different place to change your home location.",
563,"Rank 6","Teaches Moonfire (Rank 6).",
568,,,"Movement speed reduced by $s3%."
578,,"Summons and dismisses a rideable black wolf.","Increases speed by $s2%."
579,,"Summons and dismisses a rideable red wolf.","Increases speed by $s2%."
580,,"Summons and dismisses a rideable Timber Wolf.","Increases speed by $s2%."
581,,"Summons and dismisses a rideable winter wolf.","Increases speed by $s2%."
585,"Rank 1","Smite an enemy for $s1 Holy damage.",
586,"Rank 1","Fade out, discouraging enemies from attacking you for $d.","Reduced threat level."
587,"Rank 1","Conjures $s1 $lmuffin:muffins;, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
588,"Rank 1","A burst of Holy energy fills the caster, increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used.","Increases armor by $s1."
589,"Rank 1","A word of darkness that causes $o1 Shadow damage over $d.","$s1 Shadow damage every $t1 seconds."
591,"Rank 2","Smite an enemy for $s1 Holy damage.",
976,"Rank 1","Increases the target's resistance to Shadow spells by $s1 for $d.","Shadow resistance increased by $s1."
518,,,
592,"Rank 2","Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.","Absorbs damage."
594,"Rank 2","A word of darkness that causes $o1 Shadow damage over $d.","$s1 Shadow damage every $t1 seconds."
596,"Rank 1","A powerful prayer heals party members within $a1 yards for $s1.",
597,"Rank 2","Conjures $s1 $lloaf:loaves; of bread, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
598,"Rank 3","Smite an enemy for $s1 Holy damage.",
600,"Rank 3","Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.","Absorbs damage."
601,"Rank 1","Increases your attack rating with One-Handed Swords by $s1.",
602,"Rank 3","A burst of Holy energy fills the caster, increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used.","Increases armor by $s1."
603,"Rank 1","Curses the target with impending doom, causing $s1 Shadow damage after $d.  If the target dies from this damage, there is a chance that a Doomguard will be summoned.  Cannot be cast on players.","Causes $s1 Shadow damage after $d."
604,"Rank 1","Dampens magic used against the targeted party member, decreasing damage taken from spells by up to $s1 and healing spells by up to $s2.  Lasts $d.","Reduces magic damage taken by up to $s1 and healing by up to $s2."
605,"Rank 1","Controls a humanoid mind up to level $s1, but increases the time between its attacks by $s3%.  Lasts up to $d.","Charmed.  Time between attacks increased by $s3%."
606,"Rank 1","Drains $o1 mana from the target over $d.","Mana drain, $s1 points every 5 seconds."
611,"Rank 1","Teaches Seal of Sacrifice (Rank 1).",
633,"Rank 1","Heals a friendly target for an amount equal to the Paladin's maximum health.  Drains all of the Paladin's remaining mana when used.",
642,"Rank 1","Protects the paladin from all damage and spells for $d, but increases the time between your attacks by $s2%.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection, Blessing of Protection again or use Avenging Wrath for $25771d.","Immune to all attacks and spells, but increases the time between your attacks by $s2%."
643,"Rank 3","Gives $s1 additional armor to party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases armor by $s1."
673,,"Increases armor by $s1 for $d.  Guardian Elixir.","Armor increased by $s1.  Guardian Elixir."
674,Passive,"Allows one-hand and off-hand weapons to be equipped in the off-hand.",
676,,"Disarm the enemy's weapon for $d.",Disarmed!
686,"Rank 1","Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
687,"Rank 1","Protects the caster, increasing armor by $m1 and restores $s2 Health per 5 sec. for $d.","Increases armor by $s1 and restores $s2 Health per 5 sec."
688,Summon,"Summons an Imp under the command of the Warlock.",
689,"Rank 1","Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.","Drains $s1 health every $t1 sec to the caster."
691,Summon,"Summons a Felhunter under the command of the Warlock.",
693,"Rank 1","Creates a Minor Soulstone.  The Soulstone can be used to store one target's soul.  If the target dies while their soul is stored, they will be able to resurrect with $3026s1 health and $3026q1 mana.

Conjured items disappear if logged out for more than 15 minutes.",
694,"Rank 1","A mocking attack that causes $s1 damage, a moderate amount of threat and forces the target to focus attacks on you for $d.",Taunted.
695,"Rank 2","Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
696,"Rank 2","Protects the caster, increasing armor by $m1 and restores $s2 Health per 5 sec. for $d.","Increases armor by $s1 and restores $s2 Health per 5 sec."
697,Summon,"Summons a Voidwalker under the command of the Warlock.",
698,,"Begins a ritual that summons the targeted group member.  Requires the caster and 2 additional party members to complete the ritual.  In order to participate, all players must be out of combat and right-click the portal and not move until the ritual is complete.",
699,"Rank 2","Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.","Drains $s1 health every $t1 sec to the caster."
700,"Rank 1","Puts the enemy target to sleep for up to $d.  Any damage caused will awaken the target.  Only one target can be asleep at a time. Unreliable on targets above level 30.",Asleep.
701,,"Blasts a target for $s1 Fire damage.",
702,"Rank 1","Target's melee attack power is reduced by $s1 for $d.  Only one Curse per Warlock can be active on any one target.","Melee attack power reduced by $s1."
703,"Rank 1","Garrote the enemy, causing $o1 damage over $d, increased by your attack power.  Must be stealthed and behind the target.  Awards $s2 combo $lpoint:points;.","$s1 damage every $t1 seconds."
704,"Rank 1","Curses the target with recklessness, increasing melee attack power by $s1 but reducing armor by $s2 for $d.  Cursed enemies will not flee and will ignore Fear and Horror effects.  Only one Curse per Warlock can be active on any one target.","Increases melee attack power by $s1 and decreases armor by $s2.   Target will not flee and will ignore Fear and Horror effects."
705,"Rank 3","Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
706,"Rank 1","Protects the caster, increasing armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec.  Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d.","Increases armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec."
707,"Rank 2","Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.","$s1 Fire damage every $t1 seconds."
709,"Rank 3","Transfers $s1 health every $t1 sec from the target to the caster.  Lasts $d.","Drains $s1 health every $t1 sec to the caster."
710,"Rank 1","Banishes the enemy target, preventing all action but making it invulnerable for up to $d.  Only one target can be banished at a time.  Only works on Demons and Elementals.","Invulnerable, but unable to act."
712,Summon,"Summons a Succubus under the command of the Warlock.",
713,Summon,"Summons an Incubus under the command of the Warlock.",
720,,,Entangled
724,"Rank 1","Creates a Holy Lightwell.  Members of your raid or party can click the Lightwell to restore $7001o1 health over $7001d.  Any damage taken will cancel the effect.  Lightwell lasts for $d or 5 charges.",
740,"Rank 1","Heals all nearby group members for $s1 every $t2 seconds for $d.  Druid must channel to maintain the spell.","Heals nearby party members for $s1 every $t2 seconds."
744,,"Inflicts Nature damage to an enemy every $t1 sec. for $d.","Nature damage inflicted every $t1 sec."
745,,"Casts a web over an enemy, immobilizing it for $d.",Immobilized.
746,"Rank 1","Heals $o1 damage over $d.","Healing $s1 damage every $t1 seconds."
755,"Rank 1","Gives $s1 health to the caster's pet every second for $d as long as the caster channels.","Transferring Life."
758,"Rank 1","Enchants the main hand weapon with fire, granting each attack a chance to deal $17809s1 additional fire damage.",
759,,"Conjures a mana agate that can be used to instantly restore $5405s1 mana.

Conjured items disappear if logged out for more than 15 minutes.",
768,Shapeshift,"Shapeshift into cat form, increasing melee attack power by $3025s1 plus Agility.  Also protects the caster from Polymorph effects and allows the use of various cat abilities.

The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.","Immunity to Polymorph effects.  Increases melee attack power by $3025s1 plus Agility."
769,"Rank 3","Swipe $x1 nearby enemies, inflicting $s1 damage.  Damage increased by attack power.",
770,"Rank 1","Decrease the armor of the target by $s1 for $d.  While affected, the target cannot stealth or turn invisible.","Decreases armor by $s1.  Cannot stealth or turn invisible."
772,"Rank 1","Wounds the target causing them to bleed for $o1 damage plus an additional ${0.00743*3*(($MWB+$mwb)/2+$AP/14*$MWS)} (based on weapon damage) over $d.","Bleeding for $s1 plus a percentage of weapon damage every $t1 seconds."
774,"Rank 1","Heals the target for $o1 over $d.","Heals $s1 damage every $t1 seconds."
778,"Rank 2","Decrease the armor of the target by $s1 for $d.  While affected, the target cannot stealth or turn invisible.","Decreases armor by $s1.  Cannot stealth or turn invisible."
779,"Rank 1","Swipe $x1 nearby enemies, inflicting $s1 damage.  Damage increased by attack power.",
780,"Rank 2","Swipe $x1 nearby enemies, inflicting $s1 damage.  Damage increased by attack power.",
781,"Rank 1","Attempts to disengage from the target, reducing threat.  Character exits combat mode.",
782,"Rank 2","Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
783,Shapeshift,"Shapeshift into travel form, increasing movement speed by $5419s1%.  Also protects the caster from Polymorph effects.  Only useable outdoors.

The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.","Immune to Polymorph effects.  Movement speed increased by $5419s1%."
785,,,"Charmed.
Damage increased by $s2%.
Spells cast instantly.
All resistances increased by $2313s2.
Movement speed increased by $2313s3%.
"
802,,,"Health is increased by $s1%.
Damage dealt is increased by $s3%."
804,,,"Preparing to explode."
806,,"Increases Strength by $s1 and does $s2 damage to you every $m2 sec for $d.","Increased Strength and periodic damage."
812,,"Periodically casts mana burn.","Periodically casts mana burn."
818,,"Builds a campfire that increases the spirits of those nearby by 4 and allows cooking.",
822,"Racial Passive","All resistances increased by $s1.",
824,Passive,,
827,,"Increases riding speed by $s1.",
833,,"Instantly heals $s1 damage.  Also restores $o2 mana over $d.  Must remain seated while drinking.","Restores $/5;s2 mana per second."
835,,"Stuns target for $d.  Increased chance to be resisted when used against targets over level 60.",Stunned.
837,"Rank 3","Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.","Movement slowed by $s1%."
845,"Rank 1","A sweeping attack that does your weapon damage plus $s1 to the target and his nearest ally.",
851,"Rank 3","Transforms the enemy into a helpless sheep that cannot cast spells or attack and movement speed is reduced by $s2% for up to $d.","Cannot cast, attack or cast spells and movement speed is reduced by $s2%."
853,"Rank 1","Stuns the target for $d.",Stunned.
857,"Rank 2","Magically unlocks treasure chests and other locked items.",
865,"Rank 2","Blasts enemies near the caster for $s1 Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.","Frozen in place."
871,,"Reduces the damage taken from melee attacks, ranged attacks and spells by $s1% for $d.","Damage reduced by $s1%."
879,"Rank 1","Causes $s1 Holy damage to an Undead or Demon target.",
883,,"Summons your pet to you.",
886,"Rank 2","Teaches Invisibility.",
898,,"Creates a Potion of Fervor.",
905,"Rank 3","The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26366s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.","Causes $26366s1 Nature damage to attacker on hit."
913,"Rank 4","Heals a friendly target for $s1.",
915,"Rank 4","Casts a bolt of lightning at the target for $s1 Nature damage.",
921,,"Pick the target's pocket.",
930,"Rank 2","Hurls a lightning bolt at the enemy, dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by 30%.  Affects $x1 total targets.",
932,,"Restores target's mana.",
939,"Rank 5","Heals a friendly target for $s1.",
943,"Rank 5","Casts a bolt of lightning at the target for $s1 Nature damage.",
945,"Rank 4","The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26367s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.","Causes $26367s1 Nature damage to attacker on hit."
959,"Rank 6","Heals a friendly target for $s1.",
970,"Rank 3","A word of darkness that causes $o1 Shadow damage over $d.","$s1 Shadow damage every $t1 seconds."
974,"Rank 1","Protects the target with an earthen shield, giving a $s2% chance of ignoring spell interruption when damaged and causing attacks to heal the shielded target for $s1.  This effect can only occur once every few seconds.  $n charges.  Lasts $d.  Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time.","$s2% chance to ignore spell interruption when damaged and attacks heal the shielded target for $s1."
980,"Rank 1","Curses the target with agony, causing $o1 Shadow damage over $d.  This damage is dealt slowly at first, and builds up as the Curse reaches its full duration.  Only one Curse per Warlock can be active on any one target.","$o1 Shadow damage over $d."
982,,"Revive your pet, returning it to life with $s1% of its base health.",
984,"Rank 4","Smite an enemy for $s1 Holy damage.",
988,"Rank 2","Dispels magic on the target, removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy.",
990,"Rank 3","Conjures $s1 $lloaf:loaves; of rye, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
992,"Rank 4","A word of darkness that causes $o1 Shadow damage over $d.","$s1 Shadow damage every $t1 seconds."
996,"Rank 2","A powerful prayer heals party members within $a1 yards for $s1.",
1002,,"Take direct control of your pet and see through its eyes for $d.","Directly controlling pet."
1004,"Rank 5","Smite an enemy for $s1 Holy damage.",
1006,"Rank 4","A burst of Holy energy fills the caster, increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used.","Increases armor by $s1."
1008,"Rank 1","Amplifies magic used against the targeted party member, increasing damage taken from spells by up to $s1 and healing spells by up to $s2.  Lasts $d.","Increases magic damage taken by up to $s1 and healing by up to $s2."
1010,"Rank 1","Curse the target with idiocy, reducing Intellect and Spirit by $s1 every $t3 seconds until each is reduced by a total of $*15;s1.  Only one Curse per Warlock can be active on any one target.","Intellect and Spirit reduced."
1014,"Rank 2","Curses the target with agony, causing $o1 Shadow damage over $d.  This damage is dealt slowly at first, and builds up as the Curse reaches its full duration.  Only one Curse per Warlock can be active on any one target.","$o1 Shadow damage over $d."
1020,"Rank 2","Protects the paladin from all damage and spells for $d, but increases the time between your attacks by $s2%.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection, Blessing of Protection again or use Avenging Wrath for $25771d.","Immune to all attacks and spells, but increases the time between your attacks by $s2%."
1022,"Rank 1","A targeted party member is protected from all physical attacks for $d, but during that time they cannot attack or use physical abilities.  Players may only have one Blessing on them per Paladin at any one time.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for $25771d.","Immune to physical attacks.  Cannot attack or use physical abilities."
1032,"Rank 5","Gives $s1 additional armor to party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases armor by $s1."
1038,,"Places a Blessing on the party member, reducing the amount of all threat generated by $s1% for $d.  Players may only have one Blessing on them per Paladin at any one time.","Reduces threat generated by $s1%."
1044,,"Places a Blessing on the friendly target, granting immunity to movement impairing effects for $d.  Players may only have one Blessing on them per Paladin at any one time.","Immune to movement impairing effects."
1058,"Rank 2","Heals the target for $o1 over $d.","Heals $s1 damage every $t1 seconds."
1062,"Rank 2","Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.  Only useable outdoors.","Rooted.  Causes $s2 Nature damage every $t2 seconds."
1064,"Rank 1","Heals the friendly target for $s1, then jumps to heal additional nearby targets.  If cast on a party member, the heal will only jump to other party members.  Each jump reduces the effectiveness of the heal by 50%.  Heals $x1 total targets.",
1066,Shapeshift,"Shapeshift into aquatic form, increasing swim speed by $5421s1% and allowing the druid to breathe underwater.  Also protects the caster from Polymorph effects.

The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.","Immune to Polymorph effects.  Increases swim speed by $5421s1% and allows underwater breathing."
1075,"Rank 3","Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.","Causes $s1 Nature damage to attackers."
1079,"Rank 1","Finishing move that causes damage over time.  Damage increases per combo point and by your attack power:
   1 point  : 42 damage over $d.
   2 points: 66 damage over $d.
   3 points: 90 damage over $d.
   4 points: 114 damage over $d.
   5 points: 138 damage over $d.","Bleed damage every $t1 seconds."
1082,"Rank 1","Claw the enemy, causing $s1 additional damage.  Awards $s2 combo $lpoint:points;.",
1086,"Rank 2","Protects the caster, increasing armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec.  Only one type of Armor spell can be active on the Warlock at any time.  Lasts $d.","Increases armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec."
1088,"Rank 4","Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
1090,"Rank 2","Puts the enemy target to sleep for up to $d.  Any damage caused will awaken the target.  Only one target can be asleep at a time.",Asleep.
1094,"Rank 3","Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.","$s1 Fire damage every $t1 seconds."
1098,"Rank 1","Subjugates the target demon, up to level $m1, forcing it to do your bidding.  While subjugated, the time between the demon's attacks is increased by $s2% and its casting speed is slowed by $s3%.  Lasts up to $d.  If you repeatedly subjugate the same demon, it will become more difficult to control with each attempt.",Enslaved.
1106,"Rank 5","Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
1108,"Rank 2","Target's melee attack power is reduced by $s1 for $d.  Only one Curse per Warlock can be active on any one target.","Melee attack power reduced by $s1."
1120,"Rank 1","Drains the soul of the target, causing $o2 Shadow damage over $d.  If the target dies while being drained, and yields experience or honor, the caster gains a Soul Shard.  Soul Shards are required for other spells.","$s2 Shadow damage every $t2 seconds."
1122,Summon,"Summons a meteor from the Twisting Nether, causing $22699s1 Fire damage and stunning all enemy targets in the area for $20310d.  An Infernal rises from the crater, under the command of the caster for $20882d.  Once control is lost, the Infernal must be Subjugated to maintain control.  Can only be used outdoors.",
1126,"Rank 1","Increases the friendly target's armor by $s1 for $d.","Increases armor by $s1."
