ID,ChrSpecID,SpellID,TraitSubTreeID,Threshold,ItemSetID
1814,0,41679,0,5,121
1827,0,39702,0,2,462
1828,0,41894,0,2,462
1833,0,41908,0,2,393
1834,0,23048,0,3,393
1835,0,41907,0,6,393
1846,0,27733,0,4,520
1848,0,41865,0,2,469
1849,0,39418,0,3,469
1864,0,41868,0,2,467
1865,0,39548,0,3,467
1866,0,41041,0,3,468
1867,0,41640,0,2,468
1868,0,41866,0,2,473
1869,0,39422,0,3,473
1875,0,41898,0,2,396
1876,0,41897,0,6,396
1877,0,23158,0,3,396
1878,0,26109,0,3,496
1879,0,26110,0,5,496
1880,0,26114,0,3,498
1881,0,26127,0,3,503
1882,0,26128,0,5,503
1883,0,41670,0,2,442
1884,0,41650,0,2,442
1885,0,41675,0,3,443
1886,0,41847,0,3,444
1887,0,21973,0,3,202
1888,0,21092,0,5,202
1889,0,23550,0,8,202
1892,0,41649,0,6,511
1893,0,41662,0,2,511
1894,0,27419,0,4,511
1895,0,41661,0,8,511
1896,0,41722,0,6,512
1897,0,41721,0,2,512
1898,0,27787,0,4,512
1899,0,41720,0,8,512
1900,0,41884,0,6,514
1901,0,41883,0,2,514
1902,0,27778,0,4,514
1903,0,41882,0,8,514
1904,0,26169,0,3,507
1905,0,26171,0,5,507
1906,0,39510,0,2,489
1907,0,39509,0,3,489
1908,0,41669,0,4,489
1909,0,41775,0,2,490
1910,0,21894,0,3,490
1911,0,28743,0,4,521
1912,0,28744,0,6,521
1913,0,28716,0,2,521
1914,0,28719,0,8,521
1915,0,41687,0,2,542
1916,0,41652,0,6,542
1917,0,23025,0,4,542
1921,0,22804,0,3,386
1922,0,41896,0,2,386
1923,0,41895,0,6,386
1924,0,41760,0,6,389
1925,0,41759,0,2,389
1926,0,23044,0,3,389
1927,0,21874,0,3,204
1928,0,21975,0,5,204
1929,0,23582,0,8,204
1930,0,41741,0,5,162
1931,0,41644,0,4,162
1932,0,41740,0,2,162
1933,0,41739,0,3,162
1946,0,41840,0,8,517
1947,0,27867,0,4,517
1948,0,41839,0,2,517
1949,0,32451,0,6,517
1953,0,41686,0,2,163
1954,0,41641,0,3,163
1955,0,41685,0,4,163
1956,0,41684,0,5,163
1957,0,41683,0,6,163
1960,0,39516,0,2,143
1980,0,41676,0,3,421
1981,0,24090,0,3,441
1984,0,41873,0,2,81
1985,0,17498,0,5,81
1986,0,41872,0,4,81
1987,0,41871,0,3,81
1988,0,41870,0,3,81
1989,0,41869,0,5,81
2009,0,41719,0,2,41
2012,0,21899,0,3,216
2013,0,23570,0,5,216
2014,0,23551,0,8,216
2017,0,41881,0,2,182
2018,0,27778,0,6,182
2019,0,41880,0,8,182
2020,0,41879,0,4,182
2023,0,23562,0,3,209
2024,0,21838,0,5,209
2025,0,23561,0,8,209
2029,0,22648,0,4,261
2030,0,41768,0,6,394
2031,0,23048,0,3,394
2032,0,41767,0,2,394
2033,0,23158,0,3,395
2034,0,41758,0,6,395
2035,0,41757,0,2,395
2036,0,41860,0,6,519
2037,0,41859,0,2,519
2038,0,27774,0,4,519
2039,0,41858,0,8,519
2040,0,22738,0,4,545
2041,0,41791,0,6,545
2042,0,41790,0,2,545
2043,0,41795,0,2,547
2044,0,41794,0,6,547
2045,0,23047,0,4,547
2056,0,41776,0,2,479
2057,0,24480,0,5,479
2058,0,24479,0,3,479
2073,0,41803,0,2,362
2074,0,23158,0,4,362
2075,0,41802,0,6,362
2076,0,41852,0,2,486
2077,0,39545,0,3,486
2083,0,23044,0,4,344
2084,0,41805,0,2,344
2085,0,41804,0,6,344
2086,0,41811,0,2,343
2087,0,23025,0,4,343
2088,0,41810,0,6,343
2089,0,41715,0,2,345
2090,0,41714,0,6,345
2091,0,23047,0,4,345
2094,0,29068,0,3,535
2095,0,23158,0,4,543
2096,0,41699,0,6,543
2097,0,41698,0,2,543
2098,0,23558,0,5,213
2099,0,21881,0,3,213
2100,0,23581,0,8,213
2101,0,39447,0,3,470
2102,0,41638,0,2,470
2105,0,28752,0,6,530
2106,0,28751,0,8,530
2107,0,28756,0,4,530
2108,0,28755,0,2,530
2115,0,21879,0,3,210
2116,0,23549,0,5,210
2117,0,22007,0,8,210
2118,0,21853,0,5,211
2119,0,21894,0,3,211
2120,0,22010,0,8,211
2121,0,41782,0,5,217
2122,0,23565,0,3,217
2123,0,23591,0,8,217
2124,0,26176,0,3,510
2135,0,41874,0,2,461
2142,0,23218,0,3,398
2143,0,41904,0,6,398
2144,0,41903,0,2,398
2145,0,29094,0,2,186
2146,0,27785,0,6,186
2147,0,41668,0,8,186
2148,0,30772,0,4,186
2166,0,41701,0,2,361
2167,0,23158,0,4,361
2168,0,41700,0,6,361
2171,0,41734,0,2,481
2172,0,24486,0,3,481
2173,0,24487,0,5,481
2174,0,28823,0,6,527
2175,0,29171,0,4,527
2176,0,28818,0,2,527
2177,0,28821,0,8,527
2178,0,41813,0,2,381
2179,0,23218,0,4,381
2180,0,41812,0,6,381
2181,0,23218,0,4,382
2182,0,41711,0,2,382
2183,0,41710,0,6,382
2184,0,41787,0,2,401
2185,0,41636,0,2,401
2186,0,41786,0,6,401
2187,0,23302,0,4,401
2188,0,41827,0,3,122
2189,0,41642,0,2,122
2190,0,41826,0,4,122
2191,0,41825,0,5,122
2196,0,41695,0,2,522
2197,0,23048,0,4,522
2198,0,41694,0,6,522
2199,0,28842,0,6,523
2200,0,28844,0,2,523
2201,0,28843,0,4,523
2202,0,28845,0,8,523
2203,0,28812,0,4,524
2204,0,28814,0,8,524
2205,0,28816,0,2,524
2206,0,28811,0,6,524
2207,0,28809,0,4,525
2208,0,28802,0,8,525
2209,0,28807,0,2,525
2210,0,28808,0,6,525
2211,0,28771,0,6,526
2212,0,28763,0,2,526
2213,0,28761,0,8,526
2214,0,28764,0,4,526
2227,0,9233,0,3,141
2232,0,41902,0,6,387
2233,0,41901,0,2,387
2234,0,23025,0,3,387
2235,0,26106,0,5,493
2236,0,41774,0,3,493
2237,0,41773,0,3,493
2252,0,41801,0,6,550
2253,0,41800,0,2,550
2254,0,23158,0,4,550
2273,0,41864,0,3,1
2274,0,41863,0,2,1
2275,0,41862,0,5,1
2276,0,41861,0,4,1
2277,0,29091,0,2,181
2278,0,27867,0,6,181
2279,0,41822,0,8,181
2280,0,30777,0,4,181
2287,0,41848,0,2,483
2288,0,39884,0,3,483
2299,0,26107,0,3,494
2300,0,41793,0,2,282
2301,0,41792,0,6,282
2302,0,22738,0,4,282
2303,0,41779,0,2,321
2304,0,41647,0,4,321
2305,0,41778,0,6,321
2310,0,23302,0,3,402
2311,0,41754,0,2,402
2312,0,41753,0,6,402
2313,0,41762,0,6,388
2314,0,41761,0,2,388
2315,0,23025,0,3,388
2316,0,41844,0,6,516
2317,0,41843,0,2,516
2318,0,27498,0,4,516
2319,0,41842,0,8,516
2322,0,24256,0,2,463
2329,0,41667,0,6,515
2330,0,41666,0,2,515
2331,0,27785,0,4,515
2332,0,41665,0,8,515
2333,0,21928,0,5,215
2334,0,23578,0,8,215
2335,0,23559,0,3,215
2336,0,23563,0,3,218
2337,0,21890,0,5,218
2338,0,23548,0,8,218
2347,0,41677,0,2,491
2348,0,41651,0,3,491
2349,0,41817,0,2,348
2350,0,23048,0,4,348
2351,0,41816,0,6,348
2352,0,41780,0,2,144
2353,0,41690,0,2,281
2354,0,41653,0,6,281
2355,0,22738,0,4,281
2356,0,41693,0,2,301
2357,0,41692,0,6,301
2358,0,22804,0,4,301
2367,0,41772,0,6,221
2368,0,41738,0,2,183
2369,0,27780,0,6,183
2370,0,41737,0,8,183
2371,0,41736,0,4,183
2372,0,41888,0,6,383
2373,0,22738,0,3,383
2374,0,41887,0,2,383
2375,0,26118,0,3,500
2376,0,26122,0,5,501
2377,0,26119,0,3,501
2378,0,29068,0,3,534
2379,0,41689,0,2,537
2380,0,22738,0,4,537
2381,0,41688,0,6,537
2382,0,41713,0,2,538
2383,0,22804,0,4,538
2384,0,41712,0,6,538
2385,0,41691,0,6,541
2386,0,41654,0,2,541
2387,0,23047,0,4,541
2407,0,26123,0,3,502
2408,0,26173,0,3,509
2409,0,26174,0,5,509
2412,0,41674,0,5,123
2413,0,41673,0,4,123
2414,0,41672,0,3,123
2415,0,41671,0,2,123
2416,0,29096,0,2,184
2417,0,27787,0,6,184
2418,0,41836,0,8,184
2419,0,41835,0,4,184
2420,0,29097,0,2,185
2421,0,27781,0,6,185
2422,0,41893,0,8,185
2423,0,41892,0,4,185
2424,0,41891,0,4,185
2448,0,29092,0,2,189
2449,0,27419,0,6,189
2450,0,18679,0,8,189
2451,0,30770,0,4,189
2452,0,41657,0,3,201
2453,0,23545,0,8,201
2454,0,41656,0,5,201
2459,0,23555,0,8,212
2460,0,21922,0,5,212
2461,0,32449,0,3,212
2462,0,29095,0,2,187
2463,0,27774,0,6,187
2464,0,41857,0,8,187
2465,0,41856,0,4,187
2466,0,29093,0,2,188
2467,0,27498,0,6,188
2468,0,41819,0,8,188
2469,0,41818,0,4,188
2470,0,26131,0,3,504
2471,0,26130,0,3,505
2472,0,41648,0,5,505
2620,0,41707,0,2,539
2621,0,23218,0,4,539
2622,0,41706,0,6,539
2623,0,23044,0,3,390
2624,0,41900,0,6,390
2625,0,41899,0,2,390
2748,0,41867,0,2,471
2749,0,39433,0,3,471
2779,0,23560,0,3,206
2780,0,23566,0,8,206
2781,0,21926,0,5,206
2782,0,41729,0,6,518
2783,0,41728,0,2,518
2784,0,27780,0,4,518
2785,0,41727,0,8,518
2786,0,39880,0,2,464
2833,0,41752,0,6,513
2834,0,41646,0,6,513
2835,0,41751,0,2,513
2836,0,27781,0,4,513
2837,0,41750,0,8,513
2840,0,26112,0,3,497
2841,0,26113,0,5,497
2842,0,41717,0,2,347
2843,0,41716,0,6,347
2844,0,23048,0,4,347
2847,0,29068,0,3,533
2869,0,23564,0,3,208
2870,0,41785,0,5,208
2871,0,21747,0,8,208
2896,0,24746,0,3,492
2899,0,21894,0,3,214
2900,0,21872,0,5,214
2901,0,21871,0,8,214
3476,0,41781,0,8,520
4206,0,41784,0,5,208
4259,0,41463,0,2,715
4260,0,44299,0,4,715
4261,0,44293,0,4,716
4262,0,41462,0,2,716
4263,0,41895,0,6,717
4264,0,41896,0,2,717
4265,0,22804,0,3,717
4266,0,41713,0,2,718
4267,0,41712,0,6,718
4268,0,22804,0,4,718
4269,0,41989,0,2,719
4270,0,43478,0,2,720
4271,0,23218,0,4,720
4272,0,43479,0,2,721
4273,0,23218,0,4,721
4274,0,43480,0,2,722
4275,0,44293,0,4,722
4276,0,43479,0,2,723
4277,0,44292,0,4,723
4278,0,43480,0,2,724
4279,0,44302,0,4,724
4280,0,43478,0,2,725
4281,0,23302,0,4,725
4282,0,43479,0,2,726
4283,0,23302,0,4,726
4284,0,43480,0,2,727
4285,0,23302,0,4,727
4286,0,43478,0,2,728
4287,0,33333,0,4,728
4288,0,43480,0,2,729
4289,0,33333,0,4,729
4290,0,43479,0,2,730
4291,0,21975,0,4,730
4292,0,43478,0,2,731
4293,0,44299,0,4,731
4294,0,43479,0,2,732
4295,0,33018,0,4,732
4296,0,43480,0,2,733
4297,0,44296,0,4,733
4298,0,43481,0,2,734
4299,0,23047,0,4,734
4300,0,43480,0,2,735
4301,0,23047,0,4,735
4302,0,43479,0,2,736
4303,0,22738,0,4,736
4304,0,9336,0,2,737
4305,0,23047,0,4,738
4306,0,46412,0,2,738
4307,0,33333,0,4,739
4308,0,46413,0,2,739
4309,0,33333,0,4,740
4310,0,46414,0,2,740
4311,0,46415,0,2,741
4312,0,23025,0,4,741
4313,0,23218,0,4,742
4314,0,46435,0,2,742
4315,0,46832,0,4,743
4316,0,46436,0,2,743
4317,0,46834,0,4,744
4318,0,46437,0,2,744
4319,0,23048,0,4,745
4320,0,46438,0,2,745
4321,0,22804,0,4,746
4322,0,46454,0,2,746
4323,0,38466,0,4,747
4324,0,46455,0,2,747
4325,0,33018,0,4,748
4326,0,46456,0,2,748
4327,0,46456,0,2,749
4328,0,23158,0,4,749
4329,0,22738,0,4,750
4330,0,46528,0,2,750
4331,0,46530,0,2,751
4332,0,23302,0,4,751
4333,0,23302,0,4,752
4334,0,46534,0,2,752
4335,0,37194,0,2,629
4336,0,37195,0,4,629
4337,0,37207,0,2,630
4338,0,37209,0,4,630
4339,0,37210,0,2,631
4340,0,37211,0,4,631
4341,0,37213,0,4,632
4342,0,37212,0,2,632
4343,0,37223,0,2,633
4344,0,37224,0,4,633
4345,0,37225,0,2,634
4346,0,37227,0,4,634
4347,0,37228,0,2,635
4348,0,37237,0,4,635
4349,0,37239,0,2,636
4350,0,37241,0,4,636
4351,0,37286,0,2,637
4352,0,37287,0,4,637
4353,0,37288,0,2,638
4354,0,37292,0,4,638
4355,0,37295,0,2,639
4356,0,37297,0,4,639
4357,0,37306,0,2,640
4358,0,37311,0,2,640
4359,0,37298,0,4,640
4360,0,37299,0,4,640
4361,0,37315,0,2,641
4362,0,37333,0,4,641
4363,0,37313,0,2,642
4364,0,37314,0,4,642
4365,0,37324,0,2,643
4366,0,37327,0,4,643
4367,0,37376,0,4,644
4368,0,37375,0,2,644
4369,0,37377,0,2,645
4370,0,37380,0,4,645
4371,0,39437,0,2,645
4372,0,37381,0,2,646
4373,0,37384,0,4,646
4374,0,37423,0,2,647
4375,0,37424,0,4,647
4376,0,37439,0,4,648
4377,0,37438,0,2,648
4378,0,37443,0,4,649
4379,0,37441,0,2,649
4380,0,37483,0,4,650
4381,0,37481,0,2,650
4382,0,37484,0,2,651
4383,0,37485,0,4,651
4384,0,37381,0,2,652
4385,0,37505,0,4,652
4386,0,37513,0,4,653
4387,0,37512,0,2,653
4388,0,37514,0,2,654
4389,0,37516,0,4,654
4390,0,37518,0,2,655
4391,0,37519,0,4,655
4392,0,37522,0,2,656
4393,0,37525,0,4,656
4394,0,37528,0,2,657
4395,0,37535,0,4,657
4396,0,37607,0,2,658
4397,0,37619,0,4,658
4398,0,37618,0,4,659
4399,0,37608,0,2,659
4400,0,37617,0,4,660
4401,0,37609,0,2,660
4402,0,37611,0,4,661
4403,0,37610,0,2,661
4404,0,37556,0,2,662
4405,0,37558,0,4,662
4406,0,37564,0,2,663
4407,0,37568,0,4,663
4408,0,37570,0,2,664
4409,0,37571,0,4,664
4410,0,26171,0,4,665
4411,0,37594,0,2,665
4412,0,37600,0,2,666
4413,0,37603,0,4,666
4414,0,41875,0,2,667
4415,0,38389,0,4,668
4416,0,38388,0,2,668
4417,0,38390,0,2,669
4418,0,38392,0,4,669
4419,0,38394,0,2,670
4420,0,38393,0,4,670
4421,0,38396,0,2,671
4422,0,38397,0,4,671
4423,0,38398,0,2,672
4424,0,38399,0,4,672
4425,0,38407,0,4,673
4426,0,38408,0,2,673
4427,0,38413,0,2,674
4428,0,38412,0,4,674
4429,0,38411,0,4,675
4430,0,38410,0,2,675
4431,0,38416,0,4,676
4432,0,38447,0,2,676
4433,0,38414,0,2,677
4434,0,38415,0,4,677
4435,0,38417,0,2,678
4436,0,38420,0,4,678
4437,0,38421,0,2,679
4438,0,38422,0,4,679
4439,0,38427,0,2,680
4440,0,38424,0,4,680
4441,0,38426,0,2,681
4442,0,38425,0,4,681
4443,0,38429,0,2,682
4444,0,38432,0,4,682
4445,0,38434,0,2,683
4446,0,38435,0,4,683
4447,0,38443,0,2,684
4448,0,38436,0,4,684
4449,0,40043,0,2,685
4450,0,46834,0,4,685
4451,0,44299,0,4,686
4452,0,40043,0,2,686
4453,0,33333,0,4,687
4454,0,40043,0,2,687
4455,0,40045,0,2,688
4456,0,46834,0,4,688
4457,0,46834,0,4,689
4458,0,40049,0,2,689
4459,0,40043,0,2,690
4460,0,46851,0,4,690
4461,0,33333,0,4,691
4462,0,40045,0,2,691
4463,0,33333,0,4,692
4464,0,40049,0,2,692
4465,0,40045,0,2,693
4466,0,46851,0,4,693
4467,0,46851,0,4,694
4468,0,40049,0,2,694
4469,0,40045,0,2,695
4470,0,38499,0,4,695
4471,0,38499,0,4,696
4472,0,40049,0,2,696
4473,0,41705,0,2,697
4474,0,23302,0,3,697
4475,0,41704,0,6,697
4476,0,41886,0,2,698
4477,0,23302,0,3,698
4478,0,30778,0,6,698
4479,0,41434,0,2,699
4480,0,41433,0,2,699
4481,0,41462,0,2,700
4482,0,23302,0,4,700
4483,0,41464,0,2,701
4484,0,22738,0,4,701
4485,0,41474,0,2,702
4486,0,23047,0,4,702
4487,0,41464,0,2,703
4488,0,33018,0,4,703
4489,0,41462,0,2,704
4490,0,23047,0,4,704
4491,0,41463,0,2,705
4492,0,33333,0,4,705
4493,0,44292,0,4,706
4494,0,41464,0,2,706
4495,0,41462,0,2,707
4496,0,33333,0,4,707
4497,0,46851,0,4,708
4498,0,41463,0,2,708
4499,0,41463,0,2,709
4500,0,23218,0,4,709
4501,0,44302,0,4,710
4502,0,41462,0,2,710
4503,0,41464,0,2,711
4504,0,23218,0,4,711
4505,0,44296,0,4,712
4506,0,41462,0,2,712
4507,0,41464,0,2,713
4508,0,21975,0,4,713
4509,0,23302,0,4,714
4510,0,41464,0,2,714
4511,0,41749,0,3,575
4512,0,41771,0,3,576
4513,0,32145,0,2,577
4514,0,21975,0,4,577
4515,0,33018,0,4,578
4516,0,32145,0,2,578
4517,0,40042,0,2,579
4518,0,44302,0,4,579
4519,0,40042,0,2,580
4520,0,44296,0,4,580
4521,0,40042,0,2,581
4522,0,33333,0,4,581
4523,0,23302,0,4,582
4524,0,40044,0,2,582
4525,0,32145,0,2,583
4526,0,23302,0,4,583
4527,0,32145,0,2,584
4528,0,23218,0,4,584
4529,0,40042,0,2,585
4530,0,46832,0,4,585
4531,0,32145,0,2,586
4532,0,44292,0,4,586
4533,0,40052,0,2,587
4534,0,23302,0,4,587
4535,0,40050,0,2,588
4536,0,22738,0,4,588
4537,0,40048,0,2,589
4538,0,23302,0,4,589
4539,0,40046,0,2,590
4540,0,22738,0,4,590
4541,0,40047,0,2,591
4542,0,23047,0,4,591
4543,0,40051,0,2,592
4544,0,23047,0,4,592
4545,0,40046,0,2,593
4546,0,33018,0,4,593
4547,0,40050,0,2,594
4548,0,33018,0,4,594
4549,0,40046,0,2,595
4550,0,23158,0,4,595
4551,0,40050,0,2,596
4552,0,23158,0,4,596
4553,0,40047,0,2,597
4554,0,33333,0,4,597
4555,0,40051,0,2,598
4556,0,33333,0,4,598
4557,0,40047,0,2,599
4558,0,23025,0,4,599
4559,0,40051,0,2,600
4560,0,23025,0,4,600
4561,0,40046,0,2,601
4562,0,23218,0,4,601
4563,0,40050,0,2,602
4564,0,23218,0,4,602
4565,0,40047,0,2,603
4566,0,22804,0,4,603
4567,0,40051,0,2,604
4568,0,22804,0,4,604
4569,0,40046,0,2,605
4570,0,23048,0,4,605
4571,0,40050,0,2,606
4572,0,23048,0,4,606
4573,0,40046,0,2,607
4574,0,23302,0,4,607
4575,0,41591,0,3,618
4576,0,41832,0,3,619
4577,0,37165,0,2,620
4578,0,37166,0,4,620
4579,0,37167,0,2,621
4580,0,37168,0,4,621
4581,0,37169,0,2,622
4582,0,37170,0,4,622
4583,0,37180,0,2,623
4584,0,37181,0,4,623
4585,0,37182,0,2,624
4586,0,37183,0,4,624
4587,0,37184,0,2,625
4588,0,37185,0,4,625
4589,0,37186,0,2,626
4590,0,37187,0,4,626
4591,0,37188,0,2,627
4592,0,37189,0,4,627
4593,0,37190,0,2,628
4594,0,37191,0,4,628
4595,0,40050,0,2,608
4596,0,23302,0,4,608
4597,0,40047,0,2,609
4598,0,33877,0,4,609
4599,0,40051,0,2,610
4600,0,33877,0,4,610
4601,0,41748,0,2,611
4602,0,41747,0,4,611
4603,0,41834,0,4,612
4604,0,41833,0,2,612
4605,0,41878,0,2,613
4606,0,41877,0,4,613
4607,0,41890,0,2,614
4608,0,41889,0,4,614
4609,0,40053,0,2,615
4610,0,23047,0,4,615
4611,0,39982,0,3,616
4612,0,41828,0,3,617
4613,0,32196,0,3,552
4614,0,39372,0,3,553
4615,0,32102,0,3,554
4616,0,39543,0,2,555
4617,0,41829,0,4,555
4618,0,39881,0,3,556
4619,0,41841,0,3,557
4620,0,41658,0,3,558
4621,0,32106,0,2,559
4622,0,42155,0,2,560
4623,0,41744,0,4,560
4624,0,41562,0,4,561
4625,0,41561,0,2,561
4626,0,41655,0,3,562
4627,0,41742,0,3,563
4628,0,41769,0,3,564
4629,0,41783,0,3,565
4630,0,41678,0,2,566
4631,0,22738,0,4,567
4632,0,32145,0,2,567
4633,0,40042,0,2,568
4634,0,23047,0,4,568
4635,0,41743,0,3,569
4636,0,41876,0,2,570
4637,0,32200,0,2,571
4638,0,41660,0,2,572
4639,0,41746,0,3,573
4640,0,41846,0,3,574
7456,0,40046,0,2,2013
7457,0,23048,0,4,2013
7458,0,22738,0,4,2014
7459,0,46528,0,2,2014
7460,0,46530,0,2,2015
7462,0,46851,0,4,2015
7463,0,23302,0,4,2016
7464,0,46534,0,2,2016
7465,0,38466,0,4,2017
7466,0,46455,0,2,2017
7467,0,22804,0,4,2018
7468,0,46454,0,2,2018
7469,0,33018,0,4,2019
7470,0,46456,0,2,2019
7471,0,46456,0,2,2020
7472,0,23158,0,4,2020
7473,0,46415,0,2,2021
7474,0,23025,0,4,2021
7475,0,23047,0,4,2022
7476,0,46412,0,2,2022
7477,0,33333,0,4,2023
7478,0,46413,0,2,2023
7479,0,33333,0,4,2024
7480,0,46414,0,2,2024
7481,0,23218,0,4,2025
7482,0,46435,0,2,2025
7483,0,46832,0,4,2026
7484,0,46436,0,2,2026
7485,0,46834,0,4,2027
7486,0,46437,0,2,2027
