"Class","Tree","TabID","TalentID","TierID","ColumnIndex","SpellID","SpellName","RankSpellIDs","RankSpellNames","PrereqTalent0","PrereqRank0","RequiredSpellID"
"Hunter","Marksmanship","363","1346","2","1","0",,"19454;19455;19456;19457;19458","Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot","0","0","0"
"Hunter","Marksmanship","363","1345","2","2","0",,"19434","Aimed Shot","0","0","0"
"Hunter","Marksmanship","363","1819","2","3","0",,"34948;34949","Rapid Killing;Rapid Killing","0","0","0"
"Hunter","Marksmanship","363","1348","3","1","0",,"19464;19465;19466;19467;19468","Improved Stings;Improved Stings;Improved Stings;Improved Stings;Improved Stings","0","0","0"
"Hunter","Marksmanship","363","1349","3","2","0",,"19485;19487;19488;19489;19490","Mortal Shots;Mortal Shots;Mortal Shots;Mortal Shots;Mortal Shots","1345","0","0"
"Hunter","Marksmanship","363","1351","4","0","0",,"35100;35102;35103","Concussive Barrage;Concussive Barrage;Concussive Barrage","0","0","0"
"Hunter","Marksmanship","363","1353","4","1","0",,"19503","Scatter Shot","0","0","0"
"Hunter","Marksmanship","363","1347","4","2","0",,"19461;19462;24691","Barrage;Barrage;Barrage","0","0","0"
"Hunter","Marksmanship","363","1804","5","0","0",,"34475;34476","Combat Experience;Combat Experience","0","0","0"
"Hunter","Marksmanship","363","1362","5","3","0",,"19507;19508;19509;19510;19511","Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization","0","0","0"
"Hunter","Marksmanship","363","1806","6","0","0",,"34482;34483;34484","Careful Aim;Careful Aim;Careful Aim","0","0","0"
"Hunter","Marksmanship","363","1361","6","1","0",,"19506","Trueshot Aura","1353","0","0"
"Hunter","Marksmanship","363","1821","6","2","0",,"35104;35110;35111","Improved Barrage;Improved Barrage;Improved Barrage","1347","2","0"
"Hunter","Marksmanship","363","1807","7","1","0",,"34485;34486;34487;34488;34489","Master Marksman;Master Marksman;Master Marksman;Master Marksman;Master Marksman","0","0","0"
"Hunter","Marksmanship","363","1808","8","1","0",,"34490","Silencing Shot","1807","4","0"
"Mage","Fire","41","26","0","1","0",,"11069;12338;12339;12340;12341","Improved Fireball;Improved Fireball;Improved Fireball;Improved Fireball;Improved Fireball","0","0","0"
"Mage","Fire","41","30","0","2","0",,"11103;12357;12358;12359;12360","Impact;Impact;Impact;Impact;Impact","0","0","0"
"Mage","Fire","41","34","1","0","0",,"11119;11120;12846;12847;12848","Ignite;Ignite;Ignite;Ignite;Ignite","0","0","0"
"Mage","Fire","41","28","1","1","0",,"11100;12353","Flame Throwing;Flame Throwing","0","0","0"
"Mage","Fire","41","27","1","2","0",,"11078;11080;12342","Improved Fire Blast;Improved Fire Blast;Improved Fire Blast","0","0","0"
"Mage","Fire","41","1141","2","0","0",,"18459;18460","Incineration;Incineration","0","0","0"
"Mage","Fire","41","31","2","1","0",,"11108;12349;12350","Improved Flamestrike;Improved Flamestrike;Improved Flamestrike","0","0","0"
"Mage","Fire","41","29","2","2","0",,"11366","Pyroblast","0","0","0"
"Mage","Fire","41","23","2","3","0",,"11083;12351","Burning Soul;Burning Soul","0","0","0"
"Mage","Fire","41","25","3","0","0",,"11095;12872;12873","Improved Scorch;Improved Scorch;Improved Scorch","0","0","0"
"Mage","Fire","41","24","3","1","0",,"11094;13043","Molten Shields;Molten Shields","0","0","0"
"Mage","Fire","41","1639","3","3","0",,"29074;29075;29076","Master of Elements;Master of Elements;Master of Elements","0","0","0"
"Mage","Fire","41","1730","4","0","0",,"31638;31639;31640","Playing with Fire;Playing with Fire;Playing with Fire","0","0","0"
"Mage","Fire","41","33","4","1","0",,"11115;11367;11368","Critical Mass;Critical Mass;Critical Mass","0","0","0"
"Mage","Fire","41","32","4","2","0",,"11113","Blast Wave","29","0","0"
"Mage","Fire","41","1731","5","0","0",,"31641;31642","Blazing Speed;Blazing Speed","0","0","0"
"Mage","Fire","41","35","5","2","0",,"11124;12378;12398;12399;12400","Fire Power;Fire Power;Fire Power;Fire Power;Fire Power","0","0","0"
"Mage","Fire","41","1733","6","0","0",,"34293;34295;34296","Pyromaniac;Pyromaniac;Pyromaniac","0","0","0"
"Mage","Fire","41","36","6","1","0",,"11129","Combustion","33","2","0"
"Mage","Fire","41","1732","6","2","0",,"31679;31680","Molten Fury;Molten Fury","0","0","0"
"Mage","Fire","41","1734","7","2","0",,"31656;31657;31658;31659;31660","Empowered Fireball;Empowered Fireball;Empowered Fireball;Empowered Fireball;Empowered Fireball","0","0","0"
"Mage","Fire","41","1735","8","1","0",,"31661","Dragon's Breath","36","0","0"
"Mage","Frost","61","70","0","0","0",,"11189;28332","Frost Warding;Frost Warding","0","0","0"
"Mage","Frost","61","37","0","1","0",,"11070;12473;16763;16765;16766","Improved Frostbolt;Improved Frostbolt;Improved Frostbolt;Improved Frostbolt;Improved Frostbolt","0","0","0"
"Mage","Frost","61","1649","0","2","0",,"29438;29439;29440","Elemental Precision;Elemental Precision;Elemental Precision","0","0","0"
"Mage","Frost","61","73","1","0","0",,"11207;12672;15047;15052;15053","Ice Shards;Ice Shards;Ice Shards;Ice Shards;Ice Shards","0","0","0"
"Mage","Frost","61","38","1","1","0",,"11071;12496;12497","Frostbite;Frostbite;Frostbite","0","0","0"
"Mage","Frost","61","62","1","2","0",,"11165;12475","Improved Frost Nova;Improved Frost Nova","0","0","0"
"Mage","Frost","61","65","1","3","0",,"11175;12569;12571","Permafrost;Permafrost;Permafrost","0","0","0"
"Mage","Frost","61","61","2","0","0",,"11151;12952;12953","Piercing Ice;Piercing Ice;Piercing Ice","0","0","0"
"Mage","Frost","61","69","2","1","0",,"12472","Icy Veins","0","0","0"
"Mage","Frost","61","63","2","3","0",,"11185;12487;12488","Improved Blizzard;Improved Blizzard;Improved Blizzard","0","0","0"
"Mage","Frost","61","741","3","0","0",,"16757;16758","Arctic Reach;Arctic Reach","0","0","0"
"Mage","Frost","61","66","3","1","0",,"11160;12518;12519","Frost Channeling;Frost Channeling;Frost Channeling","0","0","0"
"Mage","Frost","61","67","3","2","0",,"11170;12982;12983;12984;12985","Shatter;Shatter;Shatter;Shatter;Shatter","62","1","0"
"Mage","Frost","61","1736","4","0","0",,"31667;31668;31669","Frozen Core;Frozen Core;Frozen Core","0","0","0"
"Mage","Frost","61","72","4","1","0",,"11958","Cold Snap","0","0","0"
"Mage","Frost","61","64","4","2","0",,"11190;12489;12490","Improved Cone of Cold;Improved Cone of Cold;Improved Cone of Cold","0","0","0"
"Mage","Frost","61","1737","5","0","0",,"31670;31672","Ice Floes;Ice Floes","0","0","0"
"Mage","Frost","61","68","5","2","0",,"11180;28592;28593;28594;28595","Winter's Chill;Winter's Chill;Winter's Chill;Winter's Chill;Winter's Chill","0","0","0"
"Mage","Frost","61","71","6","1","0",,"11426","Ice Barrier","72","0","0"
"Mage","Frost","61","1738","6","2","0",,"31674;31675;31676;31677;31678","Arctic Winds;Arctic Winds;Arctic Winds;Arctic Winds;Arctic Winds","0","0","0"
"Mage","Frost","61","1740","7","1","0",,"31682;31683;31684;31685;31686","Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt","0","0","0"
"Mage","Frost","61","1741","8","1","0",,"31687","Summon Water Elemental","0","0","0"
"Mage","Arcane","81","74","0","0","0",,"11210;12592","Arcane Subtlety;Arcane Subtlety","0","0","0"
"Mage","Arcane","81","76","0","1","0",,"11222;12839;12840;12841;12842","Arcane Focus;Arcane Focus;Arcane Focus;Arcane Focus;Arcane Focus","0","0","0"
"Mage","Arcane","81","80","0","2","0",,"11237;12463;12464;16769;16770","Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles","0","0","0"
"Mage","Arcane","81","78","1","0","0",,"6057;6085","Wand Specialization;Wand Specialization","0","0","0"
"Mage","Arcane","81","1650","1","1","0",,"29441;29444;29445;29446;29447","Magic Absorption;Magic Absorption;Magic Absorption;Magic Absorption;Magic Absorption","0","0","0"
"Mage","Arcane","81","75","1","2","0",,"11213;12574;12575;12576;12577","Arcane Concentration;Arcane Concentration;Arcane Concentration;Arcane Concentration;Arcane Concentration","0","0","0"
"Mage","Arcane","81","82","2","0","0",,"11247;12606","Magic Attunement;Magic Attunement","0","0","0"
"Mage","Arcane","81","81","2","1","0",,"11242;12467;12469","Arcane Impact;Arcane Impact;Arcane Impact","0","0","0"
"Mage","Arcane","81","85","2","3","0",,"28574","Arcane Fortitude","0","0","0"
"Mage","Arcane","81","83","3","0","0",,"11252;12605","Improved Mana Shield;Improved Mana Shield","0","0","0"
"Mage","Arcane","81","88","3","1","0",,"11255;12598","Improved Counterspell;Improved Counterspell","0","0","0"
"Mage","Arcane","81","1142","3","3","0",,"18462;18463;18464","Arcane Meditation;Arcane Meditation;Arcane Meditation","0","0","0"
"Mage","Arcane","81","1724","4","0","0",,"31569;31570","Improved Blink;Improved Blink","0","0","0"
"Mage","Arcane","81","86","4","1","0",,"12043","Presence of Mind","0","0","0"
"Mage","Arcane","81","77","4","3","0",,"11232;12500;12501;12502;12503","Arcane Mind;Arcane Mind;Arcane Mind;Arcane Mind;Arcane Mind","0","0","0"
"Mage","Arcane","81","1726","5","0","0",,"31574;31575","Prismatic Cloak;Prismatic Cloak","0","0","0"
"Mage","Arcane","81","421","5","1","0",,"15058;15059;15060","Arcane Instability;Arcane Instability;Arcane Instability","86","0","0"
"Mage","Arcane","81","1725","5","2","0",,"31571;31572;31573","Arcane Potency;Arcane Potency;Arcane Potency","75","4","0"
"Mage","Arcane","81","1727","6","0","0",,"31579;31582;31583","Empowered Arcane Missiles;Empowered Arcane Missiles;Empowered Arcane Missiles","0","0","0"
"Mage","Arcane","81","87","6","1","0",,"12042","Arcane Power","421","2","0"
"Mage","Arcane","81","1826","6","2","0",,"35578;35581","Spell Power;Spell Power","0","0","0"
"Mage","Arcane","81","1728","7","1","0",,"31584;31585;31586;31587;31588","Mind Mastery;Mind Mastery;Mind Mastery;Mind Mastery;Mind Mastery","0","0","0"
"Mage","Arcane","81","1729","8","1","0",,"31589","Slow","0","0","0"
"Paladin","Retribution","381","1401","0","1","0",,"20042;20045;20046;20047;20048","Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might","0","0","0"
"Paladin","Retribution","381","1407","0","2","0",,"20101;20102;20103;20104;20105","Benediction;Benediction;Benediction;Benediction;Benediction","0","0","0"
"Paladin","Retribution","381","1631","1","0","0",,"25956;25957","Improved Judgement;Improved Judgement","0","0","0"
"Paladin","Retribution","381","1464","1","1","0",,"20335;20336;20337","Improved Seal of the Crusader;Improved Seal of the Crusader;Improved Seal of the Crusader","0","0","0"
"Paladin","Retribution","381","1403","1","2","0",,"20060;20061;20062;20063;20064","Deflection;Deflection;Deflection;Deflection;Deflection","0","0","0"
"Paladin","Retribution","381","1633","2","0","0",,"9452;26016;26021","Vindication;Vindication;Vindication","0","0","0"
"Paladin","Retribution","381","1411","2","1","0",,"20117;20118;20119;20120;20121","Conviction;Conviction;Conviction;Conviction;Conviction","0","0","0"
"Paladin","Retribution","381","1481","2","2","0",,"20375","Seal of Command","0","0","0"
"Paladin","Retribution","381","1634","2","3","0",,"26022;26023;44414","Pursuit of Justice;Pursuit of Justice;Pursuit of Justice","0","0","0"
"Paladin","Retribution","381","1632","3","0","0",,"9799;25988","Eye for an Eye;Eye for an Eye","0","0","0"
"Paladin","Retribution","381","1405","3","2","0",,"20091;20092","Improved Retribution Aura;Improved Retribution Aura","0","0","0"
"Paladin","Retribution","381","1755","3","3","0",,"31866;31867;31868","Crusade;Crusade;Crusade","0","0","0"
"Paladin","Retribution","381","1410","4","0","0",,"20111;20112;20113","Two-Handed Weapon Specialization;Two-Handed Weapon Specialization;Two-Handed Weapon Specialization","0","0","0"
"Paladin","Retribution","381","1409","4","2","0",,"20218","Sanctity Aura","0","0","0"
"Paladin","Retribution","381","1756","4","3","0",,"31869;31870","Improved Sanctity Aura;Improved Sanctity Aura","1409","0","0"
"Paladin","Retribution","381","1402","5","1","0",,"20049;20056;20057;20058;20059","Vengeance;Vengeance;Vengeance;Vengeance;Vengeance","1411","4","0"
"Paladin","Retribution","381","1758","5","2","0",,"31876;31877;31878","Sanctified Judgement;Sanctified Judgement;Sanctified Judgement","0","0","0"
"Paladin","Retribution","381","1761","6","0","0",,"32043;35396;35397","Sanctified Seals;Sanctified Seals;Sanctified Seals","0","0","0"
"Paladin","Retribution","381","1441","6","1","0",,"20066","Repentance","0","0","0"
"Paladin","Retribution","381","1757","6","2","0",,"31871;31872;31873","Divine Purpose;Divine Purpose;Divine Purpose","0","0","0"
"Paladin","Retribution","381","1759","7","1","0",,"31879;31880;31881;31882;31883","Fanaticism;Fanaticism;Fanaticism;Fanaticism;Fanaticism","1441","0","0"
"Paladin","Retribution","381","1823","8","1","0",,"35395","Crusader Strike","0","0","0"
"Paladin","Holy","382","1450","0","1","0",,"20262;20263;20264;20265;20266","Divine Strength;Divine Strength;Divine Strength;Divine Strength;Divine Strength","0","0","0"
"Paladin","Holy","382","1449","0","2","0",,"20257;20258;20259;20260;20261","Divine Intellect;Divine Intellect;Divine Intellect;Divine Intellect;Divine Intellect","0","0","0"
