"ID","DifficultyID","BaseLevel","MaxLevel","SpellLevel","MaxPassiveAuraLevel","SpellID"
"97751","0","32","0","32","0","1671"
"97752","0","52","0","52","0","1672"
"97753","0","6","16","6","0","1454"
"97764","0","4","0","4","0","1978"
"97766","0","30","0","30","0","1842"
"97769","0","26","36","26","0","1456"
"97770","0","12","0","12","0","1766"
"97772","0","6","0","6","0","1776"
"97776","0","26","0","26","0","1767"
"97777","0","42","0","42","0","1768"
"97778","0","58","0","58","0","1769"
"97779","0","12","22","12","0","1244"
"97780","0","66","70","66","0","2062"
"97791","0","10","0","10","0","2687"
"97795","0","26","0","26","0","1161"
"97796","0","24","0","24","0","1462"
"97801","0","4","9","4","0","774"
"97804","0","20","0","20","0","1082"
"97810","0","26","0","26","0","3045"
"97812","0","32","37","32","0","959"
"97817","0","36","46","36","0","2791"
"97818","0","20","25","20","0","1088"
"97822","0","1","10","1","0","1459"
"97823","0","14","24","14","0","1460"
"97831","0","20","0","20","0","768"
"97841","0","34","0","34","0","769"
"97842","0","18","0","18","0","770"
"97849","0","1","0","1","0","2098"
"97853","0","18","0","18","0","1014"
"97857","0","18","0","18","0","1062"
"97858","0","40","45","40","0","1064"
"97867","0","12","0","12","0","2589"
"97868","0","20","0","20","0","2590"
"97871","0","16","0","16","0","2565"
"97874","0","28","0","28","0","3029"
"97875","0","35","45","35","0","1755"
"97876","0","45","55","45","0","1756"
"97879","0","14","19","14","0","1449"
"97880","0","16","0","16","0","1495"
"97881","0","36","0","36","0","1680"
"97882","0","6","0","6","0","1757"
"97883","0","14","0","14","0","1758"
"97885","0","28","0","28","0","2591"
"97886","0","16","26","16","0","1455"
"97887","0","22","0","22","0","1725"
"97892","0","14","24","14","0","1160"
"97893","0","36","0","36","0","988"
"97894","0","22","31","22","0","990"
"97895","0","40","59","40","0","1786"
"97898","0","10","0","10","0","7386"
"97899","0","60","0","60","0","1787"
"97900","0","22","27","22","0","699"
"97901","0","30","36","30","0","740"
"97905","0","1","19","1","0","1784"
"97908","0","16","0","16","0","1066"
"97914","0","50","59","50","0","974"
"97915","0","20","39","20","0","1785"
"97916","0","10","40","10","0","1178"
"97917","0","34","0","34","0","1706"
"97918","0","30","0","30","0","976"
"97920","0","1","10","1","0","1243"
"97925","0","12","0","12","0","1535"
"97927","0","20","0","20","0","1499"
"97940","0","30","0","30","0","778"
"97941","0","34","0","34","0","2094"
"97942","0","6","0","6","0","1130"
"97955","0","24","34","24","0","1245"
"97956","0","30","0","30","0","1086"
"97968","0","20","27","20","0","1463"
"97970","0","28","33","28","0","1106"
"97971","0","28","38","28","0","1461"
"97974","0","10","15","10","0","1058"
"97975","0","30","0","30","0","1464"
"97978","0","18","0","18","0","1777"
"97987","0","10","0","10","0","2006"
"97988","0","1","0","1","0","1494"
"97995","0","24","0","24","0","1608"
"97997","0","14","0","14","0","1513"
"97998","0","10","0","10","0","1022"
"97999","0","26","0","26","0","1038"
"98000","0","30","43","30","0","1098"
"98002","0","1","0","1","0","1804"
"98005","0","40","49","40","0","996"
"98006","0","18","0","18","0","970"
"98010","0","8","0","8","0","1715"
"98011","0","32","0","32","0","1543"
"98012","0","10","0","10","0","1120"
"98013","0","8","0","8","0","1152"
"98014","0","22","0","22","0","2908"
"98015","0","20","25","20","0","2912"
"98019","0","24","0","24","0","2836"
"98024","0","40","50","40","0","9592"
"98031","0","22","0","22","0","2870"
"98038","0","56","0","56","0","3009"
"98039","0","24","0","24","0","2878"
"98046","0","26","0","26","0","1850"
"98047","0","30","35","30","0","2941"
"98048","0","20","0","20","0","2944"
"98051","0","40","45","40","0","8423"
"98054","0","48","0","48","0","3010"
"98057","0","0","0","38","0","2837"
"98060","0","16","21","16","0","2120"
"98063","0","68","0","68","0","2894"
"98067","0","22","27","22","0","2138"
"98072","0","8","0","8","0","2981"
"98073","0","16","0","16","0","2982"
"98074","0","10","0","10","0","2983"
"98077","0","10","0","10","0","2943"
"98084","0","40","0","40","0","2976"
"98095","0","24","0","24","0","2139"
"98101","0","24","29","24","0","3747"
"98105","0","22","0","22","0","1759"
"98108","0","48","0","48","0","2977"
"98109","0","1","0","1","0","2973"
"98110","0","1","0","1","0","1126"
"98111","0","40","0","40","0","1510"
"98112","0","22","0","22","0","3043"
"98115","0","20","0","20","0","3025"
"98117","0","10","0","10","0","2652"
"98118","0","6","11","6","0","3044"
"98126","0","12","0","12","0","2974"
"98127","0","32","0","32","0","2975"
"98159","0","1","0","1","0","1752"
"98164","0","18","0","18","0","2643"
"98176","0","0","0","30","0","2835"
"98179","0","24","29","24","0","2121"
"98180","0","34","0","34","0","2767"
"98186","0","44","0","44","0","1824"
"98196","0","24","0","24","0","2782"
"98202","0","70","0","70","0","2825"
"98208","0","25","0","25","0","1749"
"98215","0","69","76","69","0","2048"
"98216","0","12","0","12","0","2008"
"98217","0","20","0","20","0","2645"
"98222","0","15","25","15","0","1753"
"98225","0","30","40","30","0","1949"
"98226","0","1","0","1","0","2457"
"98232","0","36","0","36","0","2362"
"98235","0","16","21","16","0","2054"
"98236","0","22","27","22","0","2055"
"98244","0","20","0","20","0","1943"
"98253","0","1","10","1","0","2649"
"98257","0","22","0","22","0","2010"
"98264","0","10","0","10","0","1515"
"98265","0","30","0","30","0","2800"
"98272","0","22","41","22","0","1856"
"98274","0","34","0","34","0","1823"
"98275","0","6","0","6","0","2484"
"98280","0","22","27","22","0","2090"
"98281","0","14","19","14","0","2137"
"98283","0","26","0","26","0","2893"
"98289","0","18","0","18","0","2637"
"98292","0","15","0","15","0","1748"
"98297","0","22","0","22","0","2096"
"98303","0","14","0","14","0","2947"
"98304","0","22","26","22","0","2948"
"98307","0","1","3","1","0","2050"
"98308","0","4","9","4","0","2052"
"98311","0","28","0","28","0","2070"
"98312","0","28","33","28","0","2091"
"98313","0","20","0","20","0","2651"
"98314","0","10","15","10","0","2053"
"98316","0","48","53","48","0","2860"
"98319","0","10","0","10","0","2641"
"98321","0","6","11","6","0","2136"
"98322","0","0","0","1","0","1853"
"98323","0","5","15","5","0","1742"
"98324","0","5","0","5","0","1747"
"98325","0","32","37","32","0","8422"
"98329","0","50","54","50","0","2812"
"98330","0","24","0","24","0","1822"
"98333","0","40","0","40","0","1860"
"98335","0","35","0","35","0","1750"
"98336","0","45","0","45","0","1751"
"98337","0","26","0","26","0","1833"
"98339","0","20","0","20","0","1953"
"98344","0","42","61","42","0","1857"
"98368","0","36","0","36","0","3700"
"98370","0","12","0","12","0","4511"
"98400","0","34","39","34","0","3627"
"98401","0","20","0","20","0","3698"
"98416","0","20","0","20","0","3561"
"98441","0","36","0","36","0","3662"
"98449","0","38","43","38","0","3472"
"98452","0","24","0","24","0","3667"
"98457","0","56","0","56","0","3666"
"98459","0","28","0","28","0","9492"
"98491","0","20","0","20","0","3562"
"98492","0","20","0","20","0","3563"
"98493","0","10","0","10","0","3599"
"98498","0","1","5","1","0","3110"
"98499","0","20","0","20","0","3111"
"98504","0","70","0","70","0","3411"
"98508","0","50","0","50","0","3674"
"98521","0","0","0","20","0","3420"
"98522","0","0","0","50","0","3421"
"98539","0","30","0","30","0","2458"
"98547","0","32","42","32","0","9490"
"98549","0","1","0","1","0","2980"
"98550","0","30","0","30","0","3565"
"98551","0","38","0","38","0","3552"
"98553","0","30","0","30","0","3566"
"98554","0","20","0","20","0","3567"
"98559","0","26","0","26","0","3137"
"98565","0","28","0","28","0","3661"
"98572","0","18","22","18","0","3140"
"98601","0","8","13","8","0","5186"
"98608","0","0","0","30","0","4199"
"98640","0","24","0","24","0","5308"
"98653","0","4","13","4","0","5504"
"98654","0","10","19","10","0","5505"
"98655","0","20","29","20","0","5506"
"98658","0","42","0","42","0","4987"
"98667","0","24","29","24","0","5138"
"98675","0","0","0","10","0","4195"
"98688","0","14","19","14","0","5187"
"98689","0","20","25","20","0","5188"
"98697","0","1","5","1","0","5185"
"98711","0","0","0","48","0","4194"
"98718","0","0","0","1","0","4187"
"98738","0","0","0","12","0","4188"
"98740","0","0","0","12","0","4196"
"98762","0","28","0","28","0","3699"
"98769","0","0","0","18","0","4197"
"98770","0","0","0","24","0","4198"
"98781","0","0","0","18","0","4189"
"98783","0","0","0","42","0","4201"
"98797","0","0","0","48","0","4202"
"98800","0","10","15","10","0","3716"
"98805","0","0","0","24","0","4190"
"98806","0","0","0","30","0","4191"
"98807","0","0","0","36","0","4192"
"98808","0","0","0","42","0","4193"
"98833","0","8","0","8","0","5116"
"98842","0","34","0","34","0","5699"
"98850","0","0","0","36","0","4200"
"98853","0","26","31","26","0","6076"
"98856","0","30","0","30","0","5384"
"98857","0","22","0","22","0","5221"
"98859","0","14","19","14","0","6074"
"98860","0","20","25","20","0","6075"
"98864","0","16","0","16","0","5697"
"98869","0","26","31","26","0","5189"
"98870","0","38","43","38","0","6060"
"98874","0","12","21","12","0","5242"
"98883","0","34","39","34","0","6064"
"98884","0","38","0","38","0","5196"
"98894","0","34","0","34","0","6117"
"98918","0","28","0","28","0","5195"
"98922","0","10","0","10","0","5149"
"98926","0","40","52","40","0","5484"
"98933","0","32","37","32","0","6077"
"98938","0","8","0","8","0","5730"
"98956","0","56","61","56","0","9889"
"98969","0","16","36","16","0","5421"
"98979","0","8","12","8","0","5143"
"98980","0","16","20","16","0","5144"
"98981","0","38","0","38","0","5201"
"98982","0","20","0","20","0","5118"
"98986","0","30","0","30","0","5784"
"98988","0","28","33","28","0","6063"
"98996","0","32","0","32","0","5225"
"99002","0","20","0","20","0","5502"
"99012","0","20","0","20","0","5394"
"99021","0","50","55","50","0","9888"
"99027","0","30","36","30","0","5180"
"99032","0","20","39","20","0","5215"
"99038","0","24","0","24","0","5217"
"99047","0","20","30","20","0","14917"
"99054","0","12","0","12","0","5229"
"99059","0","10","0","10","0","5232"
"99073","0","1","5","1","0","5176"
"99074","0","6","12","6","0","5177"
"99075","0","14","20","14","0","5178"
"99076","0","22","28","22","0","5179"
"99081","0","28","0","28","0","5209"
"99082","0","14","0","14","0","5211"
"99095","0","14","19","14","0","6222"
"99098","0","40","0","40","0","5589"
"99107","0","30","39","30","0","6127"
"99110","0","58","0","58","0","6554"
"99120","0","10","0","10","0","5171"
"99122","0","24","0","24","0","5588"
"99136","0","1","48","0","0","6281"
"99137","0","1","48","0","0","6282"
"99138","0","34","39","34","0","6219"
"99141","0","38","0","38","0","5627"
"99158","0","32","41","32","0","6129"
"99161","0","0","0","54","0","5041"
"99162","0","0","0","60","0","5042"
"99169","0","46","0","46","0","6940"
"99174","0","44","0","44","0","9752"
"99175","0","4","14","4","0","6307"
"99178","0","1","48","0","0","6283"
"99182","0","10","0","10","0","6991"
"99184","0","40","46","40","0","7001"
"99189","0","40","44","40","0","8417"
"99190","0","32","36","32","0","8416"
"99191","0","10","40","10","0","5487"
"99194","0","30","0","30","0","5234"
"99198","0","8","0","8","0","5277"
"99202","0","18","0","18","0","5573"
"99205","0","8","0","8","0","5782"
"99212","0","42","52","42","0","9747"
"99216","0","10","0","10","0","6546"
"99222","0","40","45","40","0","6131"
"99223","0","42","0","42","0","9749"
"99224","0","42","47","42","0","9750"
"99227","0","24","28","24","0","5145"
"99228","0","34","0","34","0","6495"
"99230","0","0","0","54","0","5048"
"99232","0","38","43","38","0","6078"
"99233","0","22","0","22","0","5246"
"99240","0","24","0","24","0","5763"
"99244","0","0","0","60","0","5049"
"99247","0","32","37","32","0","6041"
"99252","0","24","34","24","0","6190"
"99257","0","28","33","28","0","6141"
"99258","0","10","0","10","0","6201"
"99259","0","20","29","20","0","5570"
"99260","0","22","31","22","0","6192"
"99261","0","14","0","14","0","6197"
"99266","0","30","35","30","0","6065"
"99267","0","20","25","20","0","5740"
"99274","0","22","0","22","0","6202"
"99287","0","16","0","16","0","7294"
"99289","0","60","0","60","0","6542"
"99290","0","18","24","18","0","5676"
"99292","0","38","0","38","0","6392"
"99304","0","32","0","32","0","6785"
"99305","0","30","0","30","0","6548"
"99308","0","30","0","30","0","7381"
"99317","0","10","0","10","0","6770"
"99321","0","20","0","20","0","6346"
"99323","0","40","59","40","0","6783"
"99339","0","14","0","14","0","6572"
"99340","0","20","0","20","0","6547"
"99341","0","20","0","20","0","6363"
"99343","0","8","14","8","0","8018"
"99346","0","42","0","42","0","9745"
"99353","0","40","0","40","0","6365"
"99354","0","18","0","18","0","6390"
"99358","0","12","0","12","0","7384"
"99361","0","28","0","28","0","6391"
"99368","0","42","0","42","0","6774"
"99371","0","32","0","32","0","6213"
"99394","0","20","0","20","0","7128"
"99396","0","8","12","8","0","7268"
"99397","0","16","20","16","0","7269"
"99398","0","24","0","24","0","5500"
"99403","0","38","43","38","0","8439"
"99406","0","24","28","24","0","7270"
"99407","0","8","0","8","0","6760"
"99411","0","20","0","20","0","6756"
"99420","0","38","0","38","0","6552"
"99421","0","28","38","28","0","6768"
"99422","0","42","48","42","0","6789"
"99428","0","20","0","20","0","7301"
"99431","0","30","0","30","0","6364"
"99443","0","28","33","28","0","5614"
"99445","0","22","0","22","0","6205"
"99451","0","26","0","26","0","6358"
"99456","0","34","39","34","0","6226"
"99460","0","24","29","24","0","6223"
"99467","0","22","31","22","0","6143"
"99469","0","36","43","36","0","8495"
"99475","0","1","11","1","0","6673"
"99480","0","32","37","32","0","6778"
"99481","0","38","44","38","0","6780"
"99496","0","36","41","36","0","5615"
"99498","0","16","0","16","0","6761"
"99499","0","24","0","24","0","6762"
"99502","0","6","0","6","0","6343"
"99504","0","28","0","28","0","6217"
"99510","0","32","41","32","0","6229"
"99511","0","0","0","1","0","12042"
"99513","0","26","0","26","0","5675"
"99516","0","26","0","26","0","6178"
"99518","0","10","0","10","0","6795"
"99522","0","1","48","0","0","6286"
"99532","0","48","54","48","0","6353"
"99538","0","56","0","56","0","6215"
"99539","0","28","0","28","0","6366"
"99542","0","22","32","22","0","6360"
"99543","0","36","0","36","0","6793"
"99546","0","30","0","30","0","6375"
"99552","0","40","0","40","0","6377"
"99555","0","26","0","26","0","6809"
"99558","0","10","0","10","0","7300"
"99572","0","30","0","30","0","6798"
"99573","0","30","0","30","0","6800"
"99578","0","40","0","40","0","1006"
"99586","0","34","39","34","0","7648"
"99587","0","12","0","12","0","7328"
"99591","0","36","41","36","0","7641"
"99596","0","32","0","32","0","7870"
"99599","0","40","44","40","0","8418"
"99601","0","14","24","14","0","7804"
"99602","0","26","0","26","0","992"
"99603","0","54","0","54","0","7373"
"99605","0","26","36","26","0","7805"
"99608","0","22","0","22","0","8498"
"99609","0","26","32","26","0","8949"
"99610","0","18","23","18","0","8052"
"99611","0","38","43","38","0","8413"
"99613","0","30","40","30","0","5857"
"99614","0","24","0","24","0","5599"
"99615","0","10","0","10","0","6807"
"99618","0","8","13","8","0","8044"
"99623","0","0","0","20","0","8681"
"99629","0","28","0","28","0","7887"
"99631","0","8","13","8","0","7799"
"99632","0","18","23","18","0","7800"
"99633","0","28","33","28","0","7801"
"99634","0","38","43","38","0","7802"
"99636","0","28","32","28","0","8444"
"99650","0","36","0","36","0","7402"
"99651","0","40","49","40","0","1032"
"99655","0","20","0","20","0","2842"
"99658","0","34","0","34","0","8972"
"99660","0","24","0","24","0","8450"
"99661","0","42","48","42","0","8951"
"99666","0","1","6","1","0","8017"
"99669","0","1","6","1","0","7371"
"99671","0","30","0","30","0","7302"
"99673","0","32","0","32","0","8012"
"99675","0","20","25","20","0","8004"
"99676","0","40","45","40","0","8005"
"99677","0","40","0","40","0","7320"
"99679","0","18","24","18","0","8027"
"99681","0","28","36","28","0","8038"
"99690","0","1","0","1","0","168"
"99694","0","36","41","36","0","8010"
"99696","0","38","0","38","0","8955"
"99714","0","10","16","10","0","8024"
"99716","0","36","41","36","0","6066"
"99719","0","38","43","38","0","7651"
"99725","0","20","0","20","0","1079"
"99727","0","34","0","34","0","7379"
"99736","0","26","0","26","0","7400"
"99749","0","36","0","36","0","7816"
"99754","0","26","34","26","0","8030"
"99779","0","18","0","18","0","8676"
"99780","0","34","39","34","0","8492"
"99782","0","28","33","28","0","8104"
"99785","0","30","0","30","0","8455"
"99786","0","40","49","40","0","8458"
"99790","0","20","0","20","0","706"
"99791","0","32","41","32","0","8461"
"99793","0","32","0","32","0","8512"
"99794","0","30","35","30","0","8438"
"99795","0","36","0","36","0","9493"
"99800","0","24","29","24","0","8129"
"99802","0","32","0","32","0","8629"
"99806","0","34","39","34","0","8105"
"99810","0","42","51","42","0","8462"
"99813","0","40","45","40","0","8106"
"99816","0","8","0","8","0","980"
"99821","0","14","19","14","0","8045"
"99825","0","22","0","22","0","8631"
"99826","0","22","27","22","0","8437"
"99833","0","30","38","30","0","8232"
"99837","0","10","0","10","0","8075"
"99838","0","58","0","58","0","10054"
"99841","0","40","48","40","0","8235"
"99847","0","32","36","32","0","8419"
"99854","0","30","0","30","0","8632"
"99856","0","18","23","18","0","600"
"99857","0","30","40","30","0","14918"
"99858","0","28","0","28","0","8639"
"99859","0","32","0","32","0","8623"
"99860","0","48","0","48","0","10053"
"99862","0","0","0","36","0","8691"
"99867","0","32","0","32","0","945"
"99869","0","24","0","24","0","8160"
"99871","0","28","0","28","0","7658"
"99873","0","20","26","20","0","8033"
"99881","0","20","29","20","0","643"
"99897","0","36","0","36","0","8640"
"99898","0","38","0","38","0","8694"
"99906","0","10","0","10","0","7376"
"99911","0","34","0","34","0","8914"
"99913","0","42","0","42","0","7659"
"99916","0","40","44","40","0","8446"
"99917","0","30","0","30","0","11958"
"99919","0","30","0","30","0","7369"
"99920","0","0","0","1","0","7370"
"99922","0","28","0","28","0","8204"
"99923","0","26","0","26","0","6196"
"99924","0","50","60","50","0","14920"
"99925","0","24","0","24","0","6574"
"99926","0","36","41","36","0","8427"
"99927","0","18","0","18","0","6808"
"99929","0","28","33","28","0","8053"
"99930","0","20","25","20","0","8056"
"99935","0","34","0","34","0","8380"
"99936","0","28","33","28","0","8008"
"99943","0","26","0","26","0","8190"
"99946","0","36","0","36","0","8192"
"99948","0","50","0","50","0","8643"
"99950","0","42","0","42","0","8835"
"99951","0","14","0","14","0","8647"
"99952","0","42","0","42","0","6787"
"99959","0","24","0","24","0","8155"
"99962","0","24","29","24","0","8046"
"99970","0","32","0","32","0","7372"
"99974","0","36","0","36","0","8451"
"99979","0","32","37","32","0","8131"
"99983","0","40","46","40","0","8918"
"99990","0","16","0","16","0","325"
"99992","0","40","50","40","0","8637"
"99999","0","14","0","14","0","8122"
"100001","0","4","0","4","0","8071"
"100003","0","4","9","4","0","8042"
"100004","0","20","24","20","0","7322"
"100006","0","46","0","46","0","8983"
"100008","0","30","35","30","0","8412"
"100009","0","14","0","14","0","704"
"100010","0","38","0","38","0","8161"
"100014","0","32","36","32","0","8407"
"100015","0","38","42","38","0","8408"
"100016","0","10","15","10","0","8050"
"100023","0","0","0","28","0","8687"
"100028","0","38","0","38","0","8205"
"100035","0","22","0","22","0","7405"
"100037","0","34","0","34","0","8725"
"100040","0","48","53","48","0","9856"
"100041","0","60","0","60","0","9913"
"100043","0","52","57","52","0","10186"
"100045","0","54","59","54","0","9857"
"100047","0","40","0","40","0","8134"
"100048","0","38","0","38","0","8170"
"100050","0","48","0","48","0","9845"
"100051","0","60","0","60","0","9846"
"100052","0","12","17","12","0","8936"
"100063","0","0","0","1","0","28593"
"100065","0","44","49","44","0","10185"
"100066","0","60","65","60","0","10187"
"100070","0","20","0","20","0","9484"
"100074","0","40","70","40","0","9634"
"100077","0","20","30","20","0","9578"
"100079","0","44","0","44","0","9756"
"100081","0","30","0","30","0","8177"
"100084","0","60","64","60","0","10151"
"100087","0","40","70","40","0","9635"
"100092","0","32","0","32","0","8499"
"100095","0","20","24","20","0","14914"
"100099","0","32","0","32","0","7646"
"100100","0","16","22","16","0","8019"
"100104","0","58","63","58","0","9835"
"100110","0","40","0","40","0","9485"
"100111","0","46","0","46","0","10496"
"100112","0","48","52","48","0","10211"
"100113","0","56","60","56","0","10212"
"100114","0","42","47","42","0","10159"
"100115","0","50","0","50","0","1719"
"100121","0","50","54","50","0","10180"
"100122","0","56","60","56","0","10181"
"100125","0","48","0","48","0","10173"
"100129","0","58","0","58","0","9850"
"100137","0","46","0","46","0","9821"
"100138","0","26","0","26","0","8649"
"100139","0","46","52","46","0","8905"
"100143","0","0","0","1","0","28592"
"100144","0","46","51","46","0","9833"
"100145","0","50","0","50","0","10951"
"100147","0","58","0","58","0","9853"
"100148","0","44","49","44","0","9758"
"100150","0","22","0","22","0","131"
"100151","0","4","9","4","0","8921"
"100154","0","60","0","60","0","10174"
"100155","0","52","59","52","0","10177"
"100157","0","10","15","10","0","8924"
"100158","0","18","23","18","0","8938"
"100162","0","56","61","56","0","10216"
"100163","0","28","0","28","0","710"
"100169","0","60","68","60","0","10225"
"100170","0","24","29","24","0","8939"
"100171","0","22","27","22","0","8103"
"100173","0","54","0","54","0","9907"
"100176","0","38","0","38","0","8633"
"100180","0","40","45","40","0","8929"
"100184","0","24","28","24","0","8400"
"100187","0","18","0","18","0","8198"
"100190","0","40","50","40","0","9000"
"100192","0","38","0","38","0","8820"
"100195","0","30","39","30","0","8457"
"100199","0","22","27","22","0","8926"
"100201","0","38","0","38","0","8289"
"100202","0","26","30","26","0","8406"
"100203","0","38","0","38","0","8621"
"100205","0","54","0","54","0","9904"
"100206","0","28","33","28","0","8927"
"100207","0","24","0","24","0","8181"
"100211","0","34","39","34","0","8058"
"100213","0","14","0","14","0","8946"
"100227","0","50","55","50","0","10160"
"100228","0","38","43","38","0","8903"
"100232","0","34","39","34","0","8928"
"100234","0","28","38","28","0","8998"
"100237","0","28","0","28","0","8124"
"100240","0","34","0","34","0","8696"
"100241","0","36","0","36","0","8650"
"100242","0","28","0","28","0","8184"
"100243","0","30","34","30","0","8401"
"100244","0","52","61","52","0","10145"
"100245","0","44","48","44","0","10179"
"100246","0","50","56","50","0","9862"
"100251","0","40","0","40","0","8624"
"100253","0","38","0","38","0","8992"
"100255","0","34","0","34","0","8317"
"100256","0","6","11","6","0","17"
"100261","0","60","0","60","0","10220"
"100263","0","46","51","46","0","9839"
"100264","0","58","63","58","0","9841"
"100266","0","16","21","16","0","8925"
"100267","0","18","0","18","0","8143"
"100272","0","50","0","50","0","10219"
"100275","0","48","0","48","0","9849"
"100276","0","24","0","24","0","8288"
"100281","0","28","0","28","0","8227"
"100286","0","26","0","26","0","8724"
"100287","0","48","53","48","0","10215"
"100288","0","48","0","48","0","9852"
"100291","0","14","0","14","0","8154"
"100293","0","46","0","46","0","9823"
"100294","0","46","0","46","0","9824"
"100295","0","56","0","56","0","9826"
"100296","0","56","0","56","0","9827"
"100297","0","24","0","24","0","8316"
"100298","0","54","0","54","0","9910"
"100299","0","54","60","54","0","9912"
"100305","0","28","35","28","0","8494"
"100307","0","38","0","38","0","8249"
"100310","0","10","15","10","0","8092"
"100317","0","50","0","50","0","10462"
"100320","0","56","61","56","0","10396"
"100324","0","42","0","42","0","10892"
"100325","0","54","59","54","0","10199"
"100329","0","50","0","50","0","9866"
"100330","0","52","59","52","0","10192"
"100331","0","52","62","52","0","9898"
"100333","0","54","0","54","0","9901"
"100334","0","10","16","10","0","10797"
"100339","0","36","0","36","0","10585"
"100340","0","56","0","56","0","10587"
"100342","0","42","47","42","0","10898"
"100343","0","36","0","36","0","10324"
"100345","0","54","59","54","0","10900"
