Class,Tree,TierID,ColumnIndex,TalentID,RankSpellIDs,RankSpellNames,UsageTag,PlaystyleTags,PrereqTalent0,RequiredSpellID
Hunter,Survival,0,2,1820,19498;19499;19500,Hawk Eye;Hawk Eye;Hawk Eye,utility-or-rank,utility,0,0
Hunter,Survival,0,3,1621,19159;19160,Savage Strikes;Savage Strikes,damage,single-target,0,0
Hunter,Survival,1,0,1304,19184;19387;19388,Entrapment;Entrapment;Entrapment,pvp-control,pvp,0,0
Hunter,Survival,1,1,1311,19295;19297;19298;19301;19300,Deflection;Deflection;Deflection;Deflection;Deflection,utility-or-rank,utility,0,0
Hunter,Survival,1,2,1305,19228;19232;19233,Improved Wing Clip;Improved Wing Clip;Improved Wing Clip,talent-passive,utility,0,0
Hunter,Survival,2,0,1306,19239;19245,Clever Traps;Clever Traps,pvp-control,pvp,0,0
Hunter,Survival,2,1,1622,19255;19256;19257;19258;19259,Survivalist;Survivalist;Survivalist;Survivalist;Survivalist,utility-or-rank,utility,0,0
Hunter,Survival,2,2,1308,19263,Deterrence,utility-or-rank,utility,0,0
Hunter,Survival,3,0,1322,19376;19377,Trap Mastery;Trap Mastery,pvp-control,pvp,0,0
Hunter,Survival,3,1,1310,19290;19294;24283,Surefooted;Surefooted;Surefooted,utility-or-rank,utility,0,0
Hunter,Survival,3,3,1309,19286;19287,Improved Feign Death;Improved Feign Death,talent-passive,utility,0,0
Hunter,Survival,4,0,1810,34494;34496,Survival Instincts;Survival Instincts,talent-passive,utility,0,0
Hunter,Survival,4,1,1321,19370;19371;19373,Killer Instinct;Killer Instinct;Killer Instinct,talent-passive,utility,0,0
Hunter,Survival,4,2,1312,19306,Counterattack,utility-or-rank,utility,1308,0
Hunter,Survival,5,0,1809,34491;34492;34493,Resourcefulness;Resourcefulness;Resourcefulness,utility-or-rank,utility,0,0
Hunter,Survival,5,2,1303,19168;19180;19181;24296;24297,Lightning Reflexes;Lightning Reflexes;Lightning Reflexes;Lightning Reflexes;Lightning Reflexes,utility-or-rank,utility,0,0
Hunter,Survival,6,0,1811,34497;34498;34499,Thrill of the Hunt;Thrill of the Hunt;Thrill of the Hunt,utility-or-rank,utility,0,0
Hunter,Survival,6,1,1325,19386,Wyvern Sting,utility-or-rank,utility,1321,0
Hunter,Survival,6,2,1812,34500;34502;34503,Expose Weakness;Expose Weakness;Expose Weakness,utility-or-rank,utility,1303,0
Hunter,Survival,7,1,1813,34506;34507;34508;34838;34839,Master Tactician;Master Tactician;Master Tactician;Master Tactician;Master Tactician,utility-or-rank,utility,0,0
Hunter,Survival,8,1,1814,23989,Readiness,utility-or-rank,utility,1813,0
Hunter,Marksmanship,0,1,1341,19407;19412;19413;19414;19415,Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot,damage,single-target,0,0
Hunter,Marksmanship,0,2,1344,19426;19427;19429;19430;19431,Lethal Shots;Lethal Shots;Lethal Shots;Lethal Shots;Lethal Shots,damage,single-target,0,0
Hunter,Marksmanship,1,1,1343,19421;19422;19423;19424;19425,Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark,talent-passive,utility,0,0
Hunter,Marksmanship,1,2,1342,19416;19417;19418;19419;19420,Efficiency;Efficiency;Efficiency;Efficiency;Efficiency,utility-or-rank,utility,0,0
Hunter,Marksmanship,2,0,1818,34950;34954,Go for the Throat;Go for the Throat,utility-or-rank,utility,0,0
Hunter,Marksmanship,2,1,1346,19454;19455;19456;19457;19458,Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot;Improved Arcane Shot,damage,single-target,0,0
Hunter,Marksmanship,2,2,1345,19434,Aimed Shot,damage,single-target,0,0
Hunter,Marksmanship,2,3,1819,34948;34949,Rapid Killing;Rapid Killing,utility-or-rank,utility,0,0
Hunter,Marksmanship,3,1,1348,19464;19465;19466;19467;19468,Improved Stings;Improved Stings;Improved Stings;Improved Stings;Improved Stings,talent-passive,utility,0,0
Hunter,Marksmanship,3,2,1349,19485;19487;19488;19489;19490,Mortal Shots;Mortal Shots;Mortal Shots;Mortal Shots;Mortal Shots,damage,single-target,1345,0
Hunter,Marksmanship,4,0,1351,35100;35102;35103,Concussive Barrage;Concussive Barrage;Concussive Barrage,utility-or-rank,utility,0,0
Hunter,Marksmanship,4,1,1353,19503,Scatter Shot,damage,single-target,0,0
Hunter,Marksmanship,4,2,1347,19461;19462;24691,Barrage;Barrage;Barrage,utility-or-rank,utility,0,0
Hunter,Marksmanship,5,0,1804,34475;34476,Combat Experience;Combat Experience,utility-or-rank,utility,0,0
Hunter,Marksmanship,5,3,1362,19507;19508;19509;19510;19511,Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization;Ranged Weapon Specialization,talent-passive,utility,0,0
Hunter,Marksmanship,6,0,1806,34482;34483;34484,Careful Aim;Careful Aim;Careful Aim,utility-or-rank,utility,0,0
Hunter,Marksmanship,6,1,1361,19506,Trueshot Aura,damage,single-target,1353,0
Hunter,Marksmanship,6,2,1821,35104;35110;35111,Improved Barrage;Improved Barrage;Improved Barrage,talent-passive,utility,1347,0
Hunter,Marksmanship,7,1,1807,34485;34486;34487;34488;34489,Master Marksman;Master Marksman;Master Marksman;Master Marksman;Master Marksman,utility-or-rank,utility,0,0
Hunter,Marksmanship,8,1,1808,34490,Silencing Shot,damage,single-target,1807,0
Mage,Fire,0,1,26,11069;12338;12339;12340;12341,Improved Fireball;Improved Fireball;Improved Fireball;Improved Fireball;Improved Fireball,damage,single-target,0,0
Mage,Fire,0,2,30,11103;12357;12358;12359;12360,Impact;Impact;Impact;Impact;Impact,utility-or-rank,utility,0,0
Mage,Fire,1,0,34,11119;11120;12846;12847;12848,Ignite;Ignite;Ignite;Ignite;Ignite,utility-or-rank,utility,0,0
Mage,Fire,1,1,28,11100;12353,Flame Throwing;Flame Throwing,utility-or-rank,utility,0,0
Mage,Fire,1,2,27,11078;11080;12342,Improved Fire Blast;Improved Fire Blast;Improved Fire Blast,damage,single-target,0,0
Mage,Fire,2,0,1141,18459;18460,Incineration;Incineration,utility-or-rank,utility,0,0
Mage,Fire,2,1,31,11108;12349;12350,Improved Flamestrike;Improved Flamestrike;Improved Flamestrike,damage,single-target,0,0
Mage,Fire,2,2,29,11366,Pyroblast,damage,single-target,0,0
Mage,Fire,2,3,23,11083;12351,Burning Soul;Burning Soul,utility-or-rank,utility,0,0
Mage,Fire,3,0,25,11095;12872;12873,Improved Scorch;Improved Scorch;Improved Scorch,talent-passive,utility,0,0
Mage,Fire,3,1,24,11094;13043,Molten Shields;Molten Shields,healing,healing,0,0
Mage,Fire,3,3,1639,29074;29075;29076,Master of Elements;Master of Elements;Master of Elements,utility-or-rank,utility,0,0
Mage,Fire,4,0,1730,31638;31639;31640,Playing with Fire;Playing with Fire;Playing with Fire,utility-or-rank,utility,0,0
Mage,Fire,4,1,33,11115;11367;11368,Critical Mass;Critical Mass;Critical Mass,utility-or-rank,utility,0,0
Mage,Fire,4,2,32,11113,Blast Wave,damage,single-target,29,0
Mage,Fire,5,0,1731,31641;31642,Blazing Speed;Blazing Speed,utility-or-rank,utility,0,0
Mage,Fire,5,2,35,11124;12378;12398;12399;12400,Fire Power;Fire Power;Fire Power;Fire Power;Fire Power,talent-passive,utility,0,0
Mage,Fire,6,0,1733,34293;34295;34296,Pyromaniac;Pyromaniac;Pyromaniac,utility-or-rank,utility,0,0
Mage,Fire,6,1,36,11129,Combustion,utility-or-rank,utility,33,0
Mage,Fire,6,2,1732,31679;31680,Molten Fury;Molten Fury,talent-passive,utility,0,0
Mage,Fire,7,2,1734,31656;31657;31658;31659;31660,Empowered Fireball;Empowered Fireball;Empowered Fireball;Empowered Fireball;Empowered Fireball,damage,single-target,0,0
Mage,Fire,8,1,1735,31661,Dragon's Breath,utility-or-rank,utility,36,0
Mage,Frost,0,0,70,11189;28332,Frost Warding;Frost Warding,utility-or-rank,utility,0,0
Mage,Frost,0,1,37,11070;12473;16763;16765;16766,Improved Frostbolt;Improved Frostbolt;Improved Frostbolt;Improved Frostbolt;Improved Frostbolt,damage,single-target,0,0
Mage,Frost,0,2,1649,29438;29439;29440,Elemental Precision;Elemental Precision;Elemental Precision,talent-passive,utility,0,0
Mage,Frost,1,0,73,11207;12672;15047;15052;15053,Ice Shards;Ice Shards;Ice Shards;Ice Shards;Ice Shards,utility-or-rank,utility,0,0
Mage,Frost,1,1,38,11071;12496;12497,Frostbite;Frostbite;Frostbite,utility-or-rank,utility,0,0
Mage,Frost,1,2,62,11165;12475,Improved Frost Nova;Improved Frost Nova,talent-passive,utility,0,0
Mage,Frost,1,3,65,11175;12569;12571,Permafrost;Permafrost;Permafrost,utility-or-rank,utility,0,0
Mage,Frost,2,0,61,11151;12952;12953,Piercing Ice;Piercing Ice;Piercing Ice,utility-or-rank,utility,0,0
Mage,Frost,2,1,69,12472,Icy Veins,utility-or-rank,utility,0,0
Mage,Frost,2,3,63,11185;12487;12488,Improved Blizzard;Improved Blizzard;Improved Blizzard,talent-passive,multi-target,0,0
Mage,Frost,3,0,741,16757;16758,Arctic Reach;Arctic Reach,utility-or-rank,utility,0,0
Mage,Frost,3,1,66,11160;12518;12519,Frost Channeling;Frost Channeling;Frost Channeling,utility-or-rank,utility,0,0
Mage,Frost,3,2,67,11170;12982;12983;12984;12985,Shatter;Shatter;Shatter;Shatter;Shatter,utility-or-rank,utility,62,0
Mage,Frost,4,0,1736,31667;31668;31669,Frozen Core;Frozen Core;Frozen Core,utility-or-rank,utility,0,0
Mage,Frost,4,1,72,11958,Cold Snap,utility-or-rank,utility,0,0
Mage,Frost,4,2,64,11190;12489;12490,Improved Cone of Cold;Improved Cone of Cold;Improved Cone of Cold,talent-passive,utility,0,0
Mage,Frost,5,0,1737,31670;31672,Ice Floes;Ice Floes,utility-or-rank,utility,0,0
Mage,Frost,5,2,68,11180;28592;28593;28594;28595,Winter's Chill;Winter's Chill;Winter's Chill;Winter's Chill;Winter's Chill,utility-or-rank,utility,0,0
Mage,Frost,6,1,71,11426,Ice Barrier,utility-or-rank,utility,72,0
Mage,Frost,6,2,1738,31674;31675;31676;31677;31678,Arctic Winds;Arctic Winds;Arctic Winds;Arctic Winds;Arctic Winds,utility-or-rank,utility,0,0
Mage,Frost,7,1,1740,31682;31683;31684;31685;31686,Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt;Empowered Frostbolt,damage,single-target,0,0
Mage,Frost,8,1,1741,31687,Summon Water Elemental,utility-or-rank,utility,0,0
Mage,Arcane,0,0,74,11210;12592,Arcane Subtlety;Arcane Subtlety,talent-passive,utility,0,0
Mage,Arcane,0,1,76,11222;12839;12840;12841;12842,Arcane Focus;Arcane Focus;Arcane Focus;Arcane Focus;Arcane Focus,talent-passive,utility,0,0
Mage,Arcane,0,2,80,11237;12463;12464;16769;16770,Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles;Improved Arcane Missiles,talent-passive,utility,0,0
Mage,Arcane,1,0,78,6057;6085,Wand Specialization;Wand Specialization,talent-passive,utility,0,0
Mage,Arcane,1,1,1650,29441;29444;29445;29446;29447,Magic Absorption;Magic Absorption;Magic Absorption;Magic Absorption;Magic Absorption,utility-or-rank,utility,0,0
Mage,Arcane,1,2,75,11213;12574;12575;12576;12577,Arcane Concentration;Arcane Concentration;Arcane Concentration;Arcane Concentration;Arcane Concentration,utility-or-rank,utility,0,0
Mage,Arcane,2,0,82,11247;12606,Magic Attunement;Magic Attunement,utility-or-rank,utility,0,0
Mage,Arcane,2,1,81,11242;12467;12469,Arcane Impact;Arcane Impact;Arcane Impact,utility-or-rank,utility,0,0
Mage,Arcane,2,3,85,28574,Arcane Fortitude,utility-or-rank,utility,0,0
Mage,Arcane,3,0,83,11252;12605,Improved Mana Shield;Improved Mana Shield,healing,healing,0,0
Mage,Arcane,3,1,88,11255;12598,Improved Counterspell;Improved Counterspell,pvp-control,pvp,0,0
Mage,Arcane,3,3,1142,18462;18463;18464,Arcane Meditation;Arcane Meditation;Arcane Meditation,utility-or-rank,utility,0,0
Mage,Arcane,4,0,1724,31569;31570,Improved Blink;Improved Blink,talent-passive,utility,0,0
Mage,Arcane,4,1,86,12043,Presence of Mind,damage,single-target,0,0
Mage,Arcane,4,3,77,11232;12500;12501;12502;12503,Arcane Mind;Arcane Mind;Arcane Mind;Arcane Mind;Arcane Mind,damage,single-target,0,0
Mage,Arcane,5,0,1726,31574;31575,Prismatic Cloak;Prismatic Cloak,utility-or-rank,utility,0,0
Mage,Arcane,5,1,421,15058;15059;15060,Arcane Instability;Arcane Instability;Arcane Instability,utility-or-rank,utility,86,0
Mage,Arcane,5,2,1725,31571;31572;31573,Arcane Potency;Arcane Potency;Arcane Potency,utility-or-rank,utility,75,0
Mage,Arcane,6,0,1727,31579;31582;31583,Empowered Arcane Missiles;Empowered Arcane Missiles;Empowered Arcane Missiles,talent-passive,utility,0,0
Mage,Arcane,6,1,87,12042,Arcane Power,talent-passive,utility,421,0
Mage,Arcane,6,2,1826,35578;35581,Spell Power;Spell Power,talent-passive,utility,0,0
Mage,Arcane,7,1,1728,31584;31585;31586;31587;31588,Mind Mastery;Mind Mastery;Mind Mastery;Mind Mastery;Mind Mastery,damage,single-target,0,0
Mage,Arcane,8,1,1729,31589,Slow,utility-or-rank,utility,0,0
Paladin,Retribution,0,1,1401,20042;20045;20046;20047;20048,Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might;Improved Blessing of Might,talent-passive,utility,0,0
Paladin,Retribution,0,2,1407,20101;20102;20103;20104;20105,Benediction;Benediction;Benediction;Benediction;Benediction,utility-or-rank,utility,0,0
Paladin,Retribution,1,0,1631,25956;25957,Improved Judgement;Improved Judgement,damage,single-target,0,0
Paladin,Retribution,1,1,1464,20335;20336;20337,Improved Seal of the Crusader;Improved Seal of the Crusader;Improved Seal of the Crusader,damage,single-target;state-maintenance,0,0
Paladin,Retribution,1,2,1403,20060;20061;20062;20063;20064,Deflection;Deflection;Deflection;Deflection;Deflection,utility-or-rank,utility,0,0
Paladin,Retribution,2,0,1633,9452;26016;26021,Vindication;Vindication;Vindication,utility-or-rank,utility,0,0
Paladin,Retribution,2,1,1411,20117;20118;20119;20120;20121,Conviction;Conviction;Conviction;Conviction;Conviction,utility-or-rank,utility,0,0
Paladin,Retribution,2,2,1481,20375,Seal of Command,damage,single-target;state-maintenance,0,0
Paladin,Retribution,2,3,1634,26022;26023;44414,Pursuit of Justice;Pursuit of Justice;Pursuit of Justice,utility-or-rank,utility,0,0
Paladin,Retribution,3,0,1632,9799;25988,Eye for an Eye;Eye for an Eye,utility-or-rank,utility,0,0
Paladin,Retribution,3,2,1405,20091;20092,Improved Retribution Aura;Improved Retribution Aura,talent-passive,utility,0,0
Paladin,Retribution,3,3,1755,31866;31867;31868,Crusade;Crusade;Crusade,utility-or-rank,utility,0,0
Paladin,Retribution,4,0,1410,20111;20112;20113,Two-Handed Weapon Specialization;Two-Handed Weapon Specialization;Two-Handed Weapon Specialization,talent-passive,utility,0,0
Paladin,Retribution,4,2,1409,20218,Sanctity Aura,utility-or-rank,utility,0,0
Paladin,Retribution,4,3,1756,31869;31870,Improved Sanctity Aura;Improved Sanctity Aura,talent-passive,utility,1409,0
Paladin,Retribution,5,1,1402,20049;20056;20057;20058;20059,Vengeance;Vengeance;Vengeance;Vengeance;Vengeance,utility-or-rank,utility,1411,0
Paladin,Retribution,5,2,1758,31876;31877;31878,Sanctified Judgement;Sanctified Judgement;Sanctified Judgement,damage,single-target,0,0
Paladin,Retribution,6,0,1761,32043;35396;35397,Sanctified Seals;Sanctified Seals;Sanctified Seals,damage,single-target;state-maintenance,0,0
Paladin,Retribution,6,1,1441,20066,Repentance,utility-or-rank,utility,0,0
Paladin,Retribution,6,2,1757,31871;31872;31873,Divine Purpose;Divine Purpose;Divine Purpose,utility-or-rank,utility,0,0
Paladin,Retribution,7,1,1759,31879;31880;31881;31882;31883,Fanaticism;Fanaticism;Fanaticism;Fanaticism;Fanaticism,utility-or-rank,utility,1441,0
Paladin,Retribution,8,1,1823,35395,Crusader Strike,damage,single-target,0,0
Paladin,Holy,0,1,1450,20262;20263;20264;20265;20266,Divine Strength;Divine Strength;Divine Strength;Divine Strength;Divine Strength,utility-or-rank,utility,0,0
Paladin,Holy,0,2,1449,20257;20258;20259;20260;20261,Divine Intellect;Divine Intellect;Divine Intellect;Divine Intellect;Divine Intellect,utility-or-rank,utility,0,0
